"name1","name2","period","issue_num","p1","p2"
"craustin","wesm","20111","510","21","222"
"craustin","wesm","20120","511","22","2222"
"bshanks","wesm","20120","515","2","22"
"catawbasam","wesm","20111","516","1","0"
"mattharrison","wesm","20111","519","220","2222"
"mattharrison","wesm","20111","523","222","22222"
"gregglind","wesm","20111","526","10","2011"
"lodagro","wesm","20120","531","2","1"
"mattharrison","wesm","20111","546","2102","102"
"changhiskhan","tr11","20120","557","2","2"
"tr11","wesm","20120","557","2","2"
"changhiskhan","wesm","20120","557","2","2"
"changhiskhan","wesm","20120","560","2","2"
"adamklein","wesm","20120","562","2","02"
"adamklein","wesm","20120","568","222","22"
"gregglind","wesm","20120","572","012","2122"
"gregglind","wesm","20120","573","12","212"
"joonro","wesm","20120","574","1","1"
"lodagro","wesm","20120","577","2","2"
"adamklein","wesm","20120","577","1","2"
"adamklein","lodagro","20120","577","1","2"
"cpcloud","jreback","20131","577","2","22"
"jreback","lodagro","20131","577","22","22"
"cpcloud","lodagro","20131","577","2","22"
"keluc","wesm","20121","584","0","22"
"lodagro","wesm","20120","589","22","2222"
"adamklein","wesm","20120","590","2","2"
"adamklein","wesm","20120","591","22","222"
"reckoner","wesm","20120","594","1","220"
"stig","wesm","20120","595","2","1"
"jreback","soupault","20151","595","2","21"
"aman-thakral","wesm","20120","596","1","2"
"adamklein","wesm","20120","603","2","0"
"lbeltrame","wesm","20120","603","2","0"
"adamklein","lbeltrame","20120","603","2","2"
"wesm","yarikoptic","20120","608","10","21"
"adamklein","wesm","20120","611","2","1"
"adamklein","lluang","20120","613","22","2222"
"adamklein","wesm","20120","613","22","2"
"lluang","wesm","20120","613","2222","2"
"lirenz","wesm","20121","613","20","2"
"hammer","wesm","20120","614","2","222"
"ghost","wesm","20120","614","2","222"
"ghost","hammer","20120","614","2","2"
"wesm","yarikoptic","20120","618","212","221"
"cpcloud","jseabold","20121","622","0","2"
"jseabold","wesm","20121","622","2","0"
"cpcloud","wesm","20121","622","0","0"
"adamsd5","cpcloud","20130","622","000","222"
"adamsd5","jreback","20130","622","000","022"
"cpcloud","jreback","20130","622","222","022"
"adamsd5","wesm","20130","622","000","2"
"cpcloud","wesm","20130","622","222","2"
"jreback","wesm","20130","622","022","2"
"adamklein","timmie","20120","630","2","20"
"timmie","wesm","20120","630","20","0"
"adamklein","wesm","20120","630","2","0"
"aman-thakral","wesm","20120","631","22","22222222"
"mikedewar","wesm","20120","631","1","22222222"
"Komnomnomnom","wesm","20120","631","0202222","22222222"
"aman-thakral","mikedewar","20120","631","22","1"
"Komnomnomnom","mikedewar","20120","631","0202222","1"
"aman-thakral","Komnomnomnom","20120","631","22","0202222"
"changhiskhan","PhE","20121","631","2","01"
"PhE","wesm","20121","631","01","2"
"changhiskhan","wesm","20121","631","2","2"
"lodagro","wesm","20120","632","2","2"
"lodagro","wesm","20120","634","22","2"
"adamklein","wesm","20120","637","2","2"
"elpres","wesm","20120","638","21","2"
"aman-thakral","wesm","20120","641","22","10"
"ara818","wesm","20120","643","1","22"
"adamklein","elpres","20120","644","0222","1221"
"adamklein","lodagro","20120","644","0222","2"
"elpres","lodagro","20120","644","1221","2"
"ghost","jreback","20130","646","0","2"
"wesm","yarikoptic","20120","651","11","12"
"wesm","yarikoptic","20120","653","2","2"
"gerigk","wesm","20120","654","2","2"
"ogrisel","wesm","20120","655","2","2"
"adamklein","ogrisel","20120","665","2","1"
"aolieman","jreback","20160","667","11","22"
"adamklein","lodagro","20120","673","2","2"
"lodagro","wesm","20120","674","20022","2"
"timmie","wesm","20120","674","2222","2"
"lodagro","timmie","20120","674","20022","2222"
"james18","wesm","20120","676","2","12"
"dieterv77","wesm","20120","678","0","1"
"adamklein","craustin","20120","680","22","202222"
"craustin","wesm","20120","680","202222","212121"
"takluyver","wesm","20120","680","2202222","212121"
"lodagro","wesm","20120","680","22222222","212121"
"adamklein","wesm","20120","680","22","212121"
"craustin","takluyver","20120","680","202222","2202222"
"lodagro","takluyver","20120","680","22222222","2202222"
"adamklein","takluyver","20120","680","22","2202222"
"craustin","lodagro","20120","680","202222","22222222"
"adamklein","lodagro","20120","680","22","22222222"
"elpres","wesm","20120","681","21","222"
"james18","wesm","20120","683","1","11"
"takluyver","wesm","20120","685","1","1"
