name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AaronNBrock,TomAugspurger,0.5,0.0,0.25,0.0,1.0,1.0,2,9311,2,0,1,0,1,4
AaronNBrock,jreback,0.5,0.0,0.0,0.0,1.0,1.0,2,28609,1,0,0,0,1,3
AashitaK,brianhuey,0.5,0.0,0.17,0.0,1.0,1.0,4,5,12,0,4,0,1,14
AashitaK,codecov-io,0.5,0.0,0.5,0.0,1.0,1.0,4,1983,1,0,1,0,1,3
AashitaK,jorisvandenbossche,0.5,0.0,0.0,0.0,1.0,1.0,4,10540,1,0,0,0,1,3
AashitaK,jreback,0.5,0.0,0.19,0.0,1.0,1.0,4,28609,13,0,5,0,1,15
AbdealiJK,Make42,1.0,0.0,0.0,0.0,1.0,1.0,13,5,1,0,0,0,1,2
AbdealiJK,TomAugspurger,0.25,0.0,0.0,0.0,1.0,0.5,13,9311,2,0,0,0,2,6
AbdealiJK,codecov[bot],0.75,0.0,0.0,0.0,1.0,1.0,13,10328,7,0,0,0,2,8
AbdealiJK,jorisvandenbossche,0.5,0.0,0.0,0.0,1.0,1.0,13,10540,1,0,0,0,1,3
AbdealiJK,jreback,0.75,0.0,0.0,0.0,1.0,1.0,13,28609,14,0,0,0,4,18
AbdealiJK,mukesh5,1.0,0.0,0.0,0.0,1.0,1.0,13,2,3,0,0,0,1,4
AbdealiJK,pep8speaks,0.25,0.0,0.0,0.0,1.0,1.0,13,5120,1,0,0,0,2,7
AbdouSeck,jbrockmendel,1.0,0.0,0.0,0.0,1.0,1.0,2,2663,1,0,0,0,1,2
AbdouSeck,mroeschke,0.5,0.0,0.0,0.0,1.0,1.0,2,1295,1,0,0,0,1,3
AbeHandler,jankatins,0.0,0.0,0.0,0.0,1.0,1.0,8,469,0,0,0,0,1,4
AbeHandler,jorisvandenbossche,0.67,0.0,0.67,0.0,1.0,1.0,8,10540,2,0,2,0,1,4
AbeHandler,jreback,0.46,0.0,0.085,0.0,1.0,1.0,8,28609,4,0,1,0,2,12
AbeHandler,jtratner,0.57,0.0,0.0,0.0,1.0,0.86,8,2092,4,0,0,0,1,8
AbeHandler,ksvensson8,0.5,0.0,0.0,0.0,1.0,0.5,8,4,1,0,0,0,1,3
AbeHandler,max-sixty,0.0,0.25,0.0,0.0,1.0,0.75,8,567,0,1,0,0,1,5
AbeHandler,nickeubank,0.0,0.5,0.0,0.0,1.0,0.5,8,123,0,1,0,0,1,3
AbhishekAshokDubey,WillAyd,0.0,0.0,0.0,0.0,1.0,1.0,1,2735,0,0,0,0,1,2
Abir0802,jreback,0.83,0.0,0.0,0.0,1.0,1.0,4,28609,5,0,0,0,1,7
Abir0802,scls19fr,0.62,0.0,0.0,0.0,1.0,1.0,4,124,5,0,0,0,1,9
Abir0802,shwetasit,0.0,0.0,0.0,0.0,1.0,1.0,4,4,0,0,0,0,1,2
Abir0802,wegry,0.0,0.0,0.0,0.0,1.0,1.0,4,4,0,0,0,0,1,2
Acanthostega,cpcloud,0.27666666666666667,0.0,0.0,0.0,1.0,1.0,6,2545,10,0,0,0,3,18
Acanthostega,jorisvandenbossche,0.53,0.135,0.27,0.0,1.0,0.815,6,10540,33,4,8,0,2,21
Acanthostega,jreback,0.83,0.0,0.0,0.0,1.0,1.0,6,28609,10,0,0,0,1,8
AdamGleave,TomAugspurger,1.0,0.0,0.0,0.0,1.0,1.0,7,9311,2,0,0,0,1,3
