a1,a2,c,co_cmt_cnt,co_issue_cnt,date,ic,nc,pc
ApolllonDev,Violet-XiaoWeiHuang,1,2,1,2019-04,0,0,1
ApolllonDev,codecov[bot],1,2,1,2019-03,0,0,0
ApolllonDev,mroeschke,0,2,1,2019-03,0,0,0
ApolllonDev,mroeschke,1,2,1,2019-04,0,0,1
Archer6621,jreback,1,2,1,2019-03,0,0,1
ArtificialQualia,TomAugspurger,1,2,1,2019-04,0,0,0
ArtificialQualia,WillAyd,11,21,5,2019-03,2,0,4
ArtificialQualia,WillAyd,3,5,2,2019-04,0,0,0
ArtificialQualia,codecov[bot],20,27,6,2019-03,0,0,0
ArtificialQualia,codecov[bot],2,3,1,2019-04,0,0,0
ArtificialQualia,jbrockmendel,20,16,2,2019-03,0,0,9
ArtificialQualia,jorisvandenbossche,2,3,1,2019-03,0,0,0
ArtificialQualia,jreback,7,14,3,2019-03,0,0,0
ArtificialQualia,jreback,9,9,2,2019-04,0,0,0
ArtificialQualia,labodyn,1,3,1,2019-03,0,0,1
ArtificialQualia,meeseeksdev[bot],0,2,1,2019-03,0,0,0
ArtificialQualia,mroeschke,7,12,3,2019-03,0,0,0
ArtificialQualia,mroeschke,2,3,1,2019-04,0,0,0
ArtificialQualia,pep8speaks,4,13,3,2019-03,0,0,4
ArtificialQualia,pep8speaks,0,2,1,2019-04,0,0,0
ArtificialQualia,simonjayhawkins,0,2,1,2019-03,0,0,0
ArtificialQualia,vss888,3,4,1,2019-03,0,0,0
ArtinSarraf,TomAugspurger,8,12,2,2018-11,0,0,0
ArtinSarraf,TomAugspurger,1,2,1,2018-12,0,0,0
ArtinSarraf,TomAugspurger,1,4,1,2019-01,0,1,0
ArtinSarraf,TomAugspurger,4,7,1,2019-03,1,0,0
ArtinSarraf,codecov[bot],6,11,1,2018-10,0,0,0
ArtinSarraf,codecov[bot],0,2,1,2018-11,0,0,0
ArtinSarraf,codecov[bot],8,9,2,2018-12,0,0,0
ArtinSarraf,datapythonista,1,4,1,2018-12,0,1,0
ArtinSarraf,gfyoung,5,15,6,2018-11,0,0,0
ArtinSarraf,jbrockmendel,4,6,1,2018-11,0,0,1
ArtinSarraf,jbrockmendel,0,2,1,2018-12,0,0,0
ArtinSarraf,jreback,1,2,1,2018-08,0,0,0
ArtinSarraf,jreback,24,14,1,2018-10,0,0,0
ArtinSarraf,jreback,27,32,7,2018-11,1,0,1
ArtinSarraf,jreback,12,14,3,2018-12,0,0,0
ArtinSarraf,jreback,2,4,1,2019-01,0,0,0
ArtinSarraf,jreback,4,6,1,2019-03,0,0,0
ArtinSarraf,jschendel,0,6,1,2019-03,1,0,0
ArtinSarraf,mroeschke,4,5,1,2018-12,0,0,0
ArtinSarraf,pep8speaks,6,11,1,2018-10,0,0,0
ArtinSarraf,pep8speaks,1,7,2,2018-11,0,0,1
ArtinSarraf,pep8speaks,2,3,1,2018-12,0,0,0
ArtinSarraf,toobaz,3,9,1,2018-11,0,0,3
ArtinSarraf,topper-123,0,2,1,2018-11,0,0,0
ArtyomKaltovich,TomAugspurger,2,5,1,2017-01,1,0,0
Arumugapandian,WillAyd,1,2,1,2018-10,0,0,0
AshWan13,jreback,0,2,1,2019-04,0,0,0
Ashishjshetty,TomAugspurger,2,3,1,2018-05,0,0,0
Ashishjshetty,sursu,2,3,1,2018-05,0,0,0
Ashutosh-Srivastav,TomAugspurger,1,2,1,2017-05,0,0,0
Ashutosh-Srivastav,jreback,1,2,1,2017-05,0,0,0
Atcold,WillAyd,0,2,1,2018-03,0,0,0
AtomBaf,gfyoung,0,2,1,2018-09,0,0,0
AtomBaf,jreback,0,2,1,2018-09,0,0,0
Aurthes,TomAugspurger,2,4,1,2014-11,0,0,0
Aurthes,jreback,5,8,2,2014-11,0,0,0
Aurthes,rockg,8,7,1,2014-11,0,0,0
Aurthes,shoyer,1,4,1,2014-11,0,0,1
Austrianguy,gfyoung,0,2,1,2018-06,0,0,0
Aylr,jorisvandenbossche,1,3,1,2017-11,0,0,1
Aylr,jreback,1,4,2,2017-10,0,0,0
Aylr,jreback,0,3,1,2017-11,0,0,0
BAM-BAM-BAM,cpcloud,1,4,1,2013-07,0,0,0
BAM-BAM-BAM,jreback,9,9,1,2013-07,0,0,6
BAM-BAM-BAM,jtratner,1,4,1,2013-07,0,0,0
BBQHarvey,TomAugspurger,1,2,1,2017-09,0,0,0
BBQHarvey,bryaan,1,3,1,2017-09,0,0,0
BBQHarvey,gfyoung,0,2,1,2017-08,1,0,0
BBQHarvey,jreback,0,2,1,2017-09,0,0,0
BLMeltdown,TomAugspurger,2,3,1,2018-03,0,0,0
BLMeltdown,chris-b1,1,2,1,2016-11,0,0,0
BLMeltdown,chris-b1,1,7,2,2017-06,0,0,0
BLMeltdown,chris-b1,1,2,1,2018-03,0,0,0
BLMeltdown,jreback,1,2,1,2016-11,0,0,0
BLMeltdown,jreback,8,9,2,2017-05,0,0,4
BLMeltdown,jreback,2,5,2,2017-06,0,0,0
BLMeltdown,rosygupta,2,4,1,2017-06,0,0,2
BMeridian,MichaelWS,2,4,1,2014-10,0,0,0
BMeridian,PollyP,4,5,1,2014-10,0,0,0
BMeridian,TomAugspurger,2,3,1,2016-07,0,0,0
BMeridian,davidastephens,10,12,2,2014-10,1,1,0
BMeridian,jasonstrimpel,4,5,1,2014-10,0,0,0
BMeridian,jorisvandenbossche,3,6,2,2014-10,0,0,0
BMeridian,jorisvandenbossche,2,3,1,2015-09,0,0,0
BMeridian,jreback,1,2,1,2013-07,0,0,0
BMeridian,jreback,5,10,2,2014-10,0,1,0
BMeridian,jreback,2,4,1,2016-07,0,0,0
BMeridian,max-sixty,2,3,1,2015-09,0,0,0
BMeridian,sinhrks,2,3,1,2016-07,0,0,0
BMeridian,wesm,34,23,2,2012-04,5,1,0
BSchilperoort,gfyoung,0,2,1,2018-11,0,0,0
BardiaAfshin,TomAugspurger,1,2,1,2017-02,0,0,0
BardiaAfshin,jreback,1,3,1,2017-02,0,0,0
BardiaAfshin,shoyer,2,3,1,2017-02,0,0,0
BasilBeirouti,WillAyd,3,5,1,2019-01,0,0,1
BasilBeirouti,jreback,1,3,1,2019-01,0,0,0
BastiaanBergman,jorisvandenbossche,2,3,1,2016-04,0,0,0
BastiaanBergman,jreback,0,3,1,2016-03,0,0,0
BastiaanBergman,jreback,13,16,3,2016-04,0,0,0
BastiaanBergman,shoyer,1,2,1,2016-03,0,1,0
Batalex,WillAyd,6,5,1,2019-03,0,0,0
Batalex,codecov[bot],3,4,1,2019-03,0,0,0
BenDundee,hayd,1,7,1,2014-02,0,0,1
BenDundee,jorisvandenbossche,25,11,1,2014-02,0,0,0
BenDundee,jorisvandenbossche,1,2,1,2017-10,0,0,0
BenRussert,WillAyd,1,3,1,2019-01,0,0,0
BenRussert,codecov[bot],0,2,1,2018-11,0,0,0
BenRussert,gfyoung,0,2,1,2018-11,1,0,0
BenRussert,jreback,6,5,1,2018-12,0,0,0
BenRussert,jreback,2,4,1,2019-01,0,0,0
BenRussert,pep8speaks,0,2,1,2018-11,1,0,0
BenjaminHabert,chrisaycock,0,3,1,2016-06,0,0,0
BenjaminHabert,jreback,0,3,1,2016-06,0,0,0
BenjaminKay,ghost,1,2,1,2013-04,0,0,0
BenjaminKay,hayd,0,4,1,2013-04,0,0,0
Bernhard10,bhavybarca,1,2,1,2018-01,0,0,0
Bernhard10,dopplershift,2,3,1,2017-08,0,0,0
Bernhard10,jorisvandenbossche,2,3,1,2018-01,0,0,0
Bernhard10,jreback,1,2,1,2017-10,0,0,1
Bernhard10,mikofski,0,5,1,2017-08,0,0,0
Bernhard10,pep8speaks,0,4,1,2017-08,1,0,0
Bernhard10,tomchor,0,4,1,2017-08,0,0,0
BertrandBordage,jreback,1,3,1,2015-04,0,0,0
Bharat123rox,TomAugspurger,0,2,1,2019-03,0,0,0
BibMartin,TomAugspurger,0,2,1,2017-05,1,0,0
BibMartin,TomAugspurger,0,3,1,2017-12,0,0,0
BibMartin,chris-b1,0,2,1,2017-05,0,0,0
BibMartin,codecov[bot],2,6,2,2017-05,0,0,0
BibMartin,jreback,2,6,2,2017-05,0,0,0
BibMartin,jreback,1,2,1,2017-11,0,0,0
BibMartin,jreback,8,12,2,2017-12,0,0,4
BielStela,TomAugspurger,1,5,1,2018-03,0,0,1
BielStela,codecov[bot],0,2,1,2018-03,0,0,0
BielStela,jorisvandenbossche,1,7,1,2018-03,0,0,1
BielStela,pep8speaks,1,2,1,2018-03,0,0,1
Bigbrd,jreback,3,5,1,2017-01,0,0,1
Bigbrd,rouzazari,2,4,1,2017-01,0,0,1
Bilingyun,JesperDramsch,1,2,1,2018-09,0,0,0
Bilingyun,codecov[bot],1,2,1,2018-09,0,0,0
Bilingyun,datapythonista,2,3,1,2018-09,0,0,0
Bilingyun,gfyoung,1,3,1,2018-09,0,0,0
Bilingyun,jreback,1,2,1,2018-09,0,0,0
Bilingyun,pep8speaks,0,2,1,2018-09,0,0,0
BjmWang,jorisvandenbossche,2,4,1,2018-08,0,0,0
Bklyn,dsm054,2,5,1,2014-01,0,0,0
Bklyn,ghost,2,4,1,2013-01,0,0,0
Bklyn,ghost,4,6,1,2014-01,0,0,2
Bklyn,jreback,14,11,1,2014-01,0,0,4
BlackArbsCEO,TomAugspurger,0,3,1,2016-09,0,0,0
Blair-Young,TomAugspurger,2,3,1,2018-05,0,0,0
Blair-Young,codecov[bot],1,2,1,2018-04,0,0,0
BlaueBerre,TomAugspurger,2,4,1,2018-07,0,0,0
BlaueBerre,otro-mas1,2,4,1,2018-07,0,0,0
BobMcFry,jreback,0,2,1,2018-05,0,0,0
BodonFerenc,tdpetrou,1,2,1,2018-06,0,0,0
BodonFerenc,zertrin,0,2,1,2018-06,0,0,0
BotoKopo,shoyer,2,3,1,2015-06,0,0,0
BranYang,TomAugspurger,3,4,1,2016-01,0,0,0
BranYang,TomAugspurger,1,2,1,2017-06,0,0,0
BranYang,cardosan,3,5,1,2016-02,0,0,0
BranYang,chris-b1,1,4,2,2017-06,0,0,0
BranYang,codecov[bot],1,2,1,2017-06,0,0,0
BranYang,hussaintamboli,6,7,1,2017-06,0,0,0
BranYang,jorisvandenbossche,2,5,2,2017-06,0,0,0
BranYang,jreback,6,10,2,2016-01,0,0,0
BranYang,jreback,13,20,6,2016-02,0,0,0
BranYang,jreback,39,17,1,2016-03,3,0,3
BranYang,jreback,6,13,5,2017-06,1,0,0
BranYang,marcelnem,0,2,1,2016-01,0,0,0
BranYang,xmduhan,0,2,1,2017-06,0,0,0
Bravico,Cristianasp,0,2,1,2018-03,0,0,0
Bravico,LISHITING,1,2,1,2018-03,0,0,0
Bravico,TomAugspurger,0,2,1,2018-03,0,0,0
Bravico,chris-b1,0,3,1,2018-03,0,0,0
Bravico,jacksonjos,2,3,1,2018-03,0,0,0
BreitA,TomAugspurger,2,3,1,2016-04,0,0,0
BreitA,jreback,0,5,1,2015-11,1,0,0
BreitA,jreback,2,4,1,2016-04,0,0,0
BrenBarn,cpcloud,5,8,1,2013-05,1,0,1
BrenBarn,dandavison,0,2,1,2012-06,0,0,0
BrenBarn,hugadams,1,3,1,2015-05,0,0,1
BrenBarn,invisibleroads,1,2,1,2013-01,0,0,1
BrenBarn,jorisvandenbossche,0,2,1,2015-04,0,0,0
BrenBarn,jorisvandenbossche,1,3,1,2017-03,0,0,1
BrenBarn,jreback,1,5,1,2013-11,1,1,0
BrenBarn,jreback,1,2,1,2014-04,0,0,1
BrenBarn,jreback,1,10,1,2014-07,0,0,1
BrenBarn,jreback,1,4,1,2015-04,0,0,0
BrenBarn,jreback,1,3,1,2015-05,0,0,1
BrenBarn,jreback,9,18,4,2015-10,0,0,2
BrenBarn,jtratner,4,5,1,2013-11,0,0,0
BrenBarn,shoyer,0,2,1,2015-04,0,0,0
