name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
jreback,sean-schaefer,20150,0.6,0.0,0.0,0.0,0.8,1.0,3,0,0,0,1,6
jreback,seanDot7,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,seandickert,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,seanlaw,20161,0.5,0.0,0.05,0.0,1.0,0.75,6,0,1,0,2,10
jreback,seanlseymour,20181,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,seanv507,20150,0.67,0.0,0.0,0.0,1.0,1.0,12,0,0,0,1,9
jreback,seanv507,20160,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,6,0,0,0,1,6
jreback,seanyeh,20130,0.17,0.17,0.17,0.0,0.83,1.0,2,2,2,0,1,8
jreback,seanysull,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,seberg,20140,0.45,0.1,0.0,0.0,1.0,0.6,9,2,0,0,1,9
jreback,sebhahn,20151,0.665,0.0,0.0,0.0,1.0,1.0,6,0,0,0,2,10
jreback,sebp,20150,0.7,0.0,0.0,0.0,1.0,1.0,15,0,0,0,5,21
jreback,sebpiq,20121,0.5,0.0,0.0,0.0,1.0,0.5,2,0,0,0,1,4
jreback,sechilds,20180,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
jreback,seclinch,20131,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
jreback,seibert,20150,0.5,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,6
jreback,selasley,20130,0.55,0.1,0.3,0.0,0.9,1.0,8,2,6,0,2,11
jreback,selasley,20131,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,selasley,20141,0.8400000000000001,0.002,0.08,0.0,0.986,1.0,149,2,7,0,5,44
jreback,selasley,20150,0.625,0.0,0.0625,0.0425,0.9175,0.875,29,0,3,4,4,28
jreback,selasley,20160,0.68,0.0,0.0,0.0,1.0,1.0,21,0,0,0,3,20
jreback,selik,20150,0.6,0.0,0.0,0.0,0.9,1.0,12,0,0,0,1,12
jreback,selik,20161,0.5,0.0,0.0,0.0,0.5,1.0,1,0,0,0,1,3
jreback,selik,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,senaj,20190,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,sergeny,20141,0.42,0.17,0.33,0.0,0.75,1.0,5,2,4,0,1,7
jreback,sergeny,20150,1.0,0.0,0.0,0.0,1.0,1.0,7,0,0,0,3,10
jreback,sergeyf,20150,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,sergiopasra,20150,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
jreback,serrajo,20140,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
jreback,seth-a,20170,0.44,0.06,0.0,0.0,1.0,0.5,21,3,0,0,1,14
