name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AaronCritchley,jreback,2017-11,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AaronCritchley,jreback,2017-12,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,2,5
AaronCritchley,jreback,2018-03,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,5
AaronCritchley,jreback,2018-04,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AaronCritchley,jreback,2018-09,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronCritchley,pep8speaks,2018-02,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AaronCritchley,pep8speaks,2018-09,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
AaronCritchley,topper-123,2018-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronNBrock,TomAugspurger,2018-03,0.5,0.0,0.25,0.0,1.0,1.0,2,0,1,0,1,4
AashitaK,brianhuey,2017-03,0.5,0.0,0.22,0.0,1.0,1.0,9,0,4,0,1,11
AashitaK,jorisvandenbossche,2017-03,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AashitaK,jreback,2017-03,0.5,0.0,0.2,0.0,1.0,1.0,10,0,4,0,1,12
AbdealiJK,Make42,2017-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AbdealiJK,TomAugspurger,2017-11,0.25,0.0,0.0,0.0,1.0,0.5,2,0,0,0,2,6
AbdealiJK,codecov[bot],2017-11,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
AbdealiJK,codecov[bot],2017-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AbdealiJK,jorisvandenbossche,2017-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AbdealiJK,jreback,2017-11,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,12,0,0,0,3,14
AbdealiJK,pep8speaks,2017-11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AbdealiJK,pep8speaks,2017-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AbdouSeck,jbrockmendel,2018-10,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AbdouSeck,mroeschke,2018-10,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AbeHandler,jorisvandenbossche,2016-02,0.67,0.0,0.67,0.0,1.0,1.0,2,0,2,0,1,4
AbeHandler,jreback,2016-02,0.17,0.0,0.17,0.0,1.0,1.0,1,0,1,0,1,7
AbeHandler,max-sixty,2016-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AbeHandler,nickeubank,2016-02,0.0,0.5,0.0,0.0,1.0,0.5,0,1,0,0,1,3
AbhishekAshokDubey,WillAyd,2018-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Acanthostega,cpcloud,2014-04,0.27666666666666667,0.0,0.0,0.0,1.0,1.0,10,0,0,0,3,18
Acanthostega,jorisvandenbossche,2014-04,0.53,0.135,0.27,0.0,1.0,0.815,33,4,8,0,2,21
Acanthostega,jreback,2014-04,0.83,0.0,0.0,0.0,1.0,1.0,10,0,0,0,1,8
AdamGleave,TomAugspurger,2017-06,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AdamGleave,codecov[bot],2017-06,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AdamGleave,dsm054,2017-06,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
AdamGleave,jorisvandenbossche,2016-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AdamGleave,jreback,2017-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AdamGleave,jreback,2017-07,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
AdamHede,chris-b1,2017-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AdamHede,jreback,2017-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AdamHede,pratapvardhan,2017-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AdamShamlian,TomAugspurger,2017-10,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
AdamShamlian,codecov[bot],2017-10,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AdamShamlian,jreback,2017-10,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Adirio,codecov[bot],2018-10,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Adirio,jbrockmendel,2018-10,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Adirio,jreback,2018-10,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
Adirio,mroeschke,2018-10,0.25,0.0,0.0,0.0,0.25,1.0,1,0,0,0,2,5
Adirio,pep8speaks,2018-10,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AdrianTeng,jreback,2017-05,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Adrienlq,jorisvandenbossche,2018-03,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Adrienlq,pep8speaks,2018-03,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Aerlinger,TomAugspurger,2016-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Aerlinger,jorisvandenbossche,2016-06,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AeroWRX,juseg,2018-07,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Aico,stephenwlin,2013-02,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
Airatvi,TomAugspurger,2018-02,0.5,0.0,0.0,0.0,1.0,0.5,1,0,0,0,1,3
Airatvi,Yalniza,2018-02,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ajeet-Ganga,jreback,2016-12,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
Ako520,jorisvandenbossche,2018-04,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Ako520,neo01124,2018-04,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlJohri,jreback,2016-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AlbertDeFusco,TomAugspurger,2017-12,0.5,0.0,0.25,0.0,1.0,1.0,2,0,1,0,1,4
AlbertDeFusco,jorisvandenbossche,2017-05,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
AlbertDeFusco,minhouse,2017-05,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
Alex-qin,jorisvandenbossche,2017-08,0.0,0.5,0.0,0.0,0.0,1.0,0,1,0,0,1,3
AlexHentschel,chris-b1,2017-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AlexHentschel,jreback,2017-12,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AlexRiina,mroeschke,2019-03,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlexTheProgrammer,jreback,2017-01,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
AlexTheProgrammer,sdementen,2017-01,0.0,0.33,0.0,0.0,1.0,0.6699999999999999,0,1,0,0,1,4
Alexander-Shukaev,TomAugspurger,2018-11,0.53,0.03,0.0,0.03,0.83,0.8,16,1,0,1,1,11
AlexanderKUA,jreback,2015-01,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AlexandreDecan,TomAugspurger,2018-11,0.5,0.0,0.0,0.0,0.5,1.0,4,0,0,0,1,6
AlexandreDecan,TomAugspurger,2019-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AlexandreDecan,WillAyd,2019-02,0.33,0.17,0.0,0.0,0.6699999999999999,1.0,2,1,0,0,1,5
AlexandreDecan,codecov[bot],2018-12,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
AlexandreDecan,jbrockmendel,2018-11,0.5,0.0,0.0,0.0,0.5,1.0,2,0,0,0,1,5
AlexandreDecan,jbrockmendel,2018-12,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
AlexandreDecan,jreback,2018-12,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AlexandreDecan,jreback,2019-03,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AlexandreDecan,jreback,2019-04,1.0,0.0,0.0,0.0,1.0,1.0,8,0,0,0,1,6
AlexandreDecan,pep8speaks,2018-11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Alexis-benoist,TomAugspurger,2015-07,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
Alexis-benoist,jreback,2015-07,1.0,0.0,0.0,0.0,1.0,1.0,12,0,0,0,2,10
Alexis-benoist,kawochen,2015-07,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
Alexis-benoist,tarikd,2015-07,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
AlexisMignon,TomAugspurger,2017-05,0.0,1.0,0.0,0.0,0.0,1.0,0,2,0,0,1,3
AlexisMignon,codecov-io,2016-09,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AlexisMignon,jreback,2016-09,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AlexisMignon,jreback,2016-12,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AlexisMignon,jreback,2017-05,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AlistairMills,WillAyd,2018-04,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
AlistairMills,jreback,2018-04,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AllanLRH,TomAugspurger,2019-02,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AllanLRH,WillAyd,2019-02,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AllanLRH,gfyoung,2019-02,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
AllanLRH,jreback,2019-02,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
AllenDowney,BranYang,2017-06,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
AllenDowney,TomAugspurger,2014-05,0.4,0.1,0.2,0.0,0.8,1.0,4,1,2,0,1,7
AllenDowney,TomAugspurger,2017-07,0.25,0.0,0.1,0.0,1.0,1.0,5,0,2,0,2,9
AllenDowney,WillAyd,2018-07,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AllenDowney,chris-b1,2017-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AllenDowney,chris-b1,2017-07,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AllenDowney,jorisvandenbossche,2014-05,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AllenDowney,jreback,2014-05,0.4325,0.0,0.0,0.0,0.95,1.0,10,0,0,0,4,18
AllenDowney,jreback,2014-06,1.0,0.0,0.0,0.0,1.0,1.0,16,0,0,0,1,8
AllenDowney,jreback,2014-08,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AllenDowney,jreback,2014-09,0.31,0.0,0.225,0.0,1.0,1.0,4,0,3,0,2,14
AllenDowney,jreback,2017-06,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AllenDowney,jreback,2017-07,0.53,0.0,0.13,0.0,1.0,1.0,8,0,2,0,1,8
AllenDowney,jtratner,2014-09,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AllenDowney,makbigc,2018-07,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AllenDowney,marco-giancotti,2014-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AllenDowney,onesandzeroes,2014-09,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
AllenDowney,seth-p,2014-09,0.45,0.0,0.45,0.0,1.0,1.0,5,0,5,0,1,12
AllenDowney,stahlous,2014-09,0.0,0.1,0.0,0.0,1.0,0.9,0,1,0,0,1,11
AllenDowney,tyler-abbot,2015-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Altons,wesm,2011-09,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
Altons,wesm,2011-10,0.28,0.16,0.08,0.08,0.6,0.8,7,4,2,2,1,10
Amaelb,jorisvandenbossche,2016-11,0.67,0.0,0.67,0.0,1.0,1.0,2,0,2,0,1,4
Amaelb,jreback,2016-11,0.67,0.0,0.67,0.0,1.0,1.0,2,0,2,0,1,4
Amyunimus,joelostblom,2014-07,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Amyunimus,jreback,2014-04,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Amyunimus,jreback,2014-07,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
Amyunimus,onesandzeroes,2014-07,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Amyunimus,sinhrks,2014-07,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,7
Anaphory,jreback,2016-07,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
Anaphory,paulproteus,2012-12,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,2
Anaphory,wesm,2012-12,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,3
AndreiKeino,TomAugspurger,2018-06,0.33,0.17,0.0,0.0,1.0,0.5,2,1,0,0,1,5
AndresGlez,jorisvandenbossche,2015-11,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AndresGlez,rockg,2015-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewArcher,TomAugspurger,2017-05,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
AndrewArcher,Zhang18,2017-05,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,2,0,0,0,1,4
AndrewArcher,jreback,2017-05,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
AndrewRook,chris-b1,2017-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AndrewUshakov,jreback,2014-04,0.33,0.17,0.0,0.0,0.5,1.0,2,1,0,0,1,5
