"name1","name2","period","issue_num","p1","p2"
"MustaphaTR","Phrohdoh","20150","7478","2","2"
"deniz1a","Unit158","20150","7478","2","2"
"Phrohdoh","Unit158","20150","7478","2","2"
"GeertJohan","Unit158","20150","7478","2","2"
"chrisforbes","Unit158","20150","7478","2","2"
"elegantandrogyne","Unit158","20150","7478","0","2"
"MustaphaTR","Unit158","20150","7478","2","2"
"deniz1a","GeertJohan","20150","7478","2","2"
"chrisforbes","GeertJohan","20150","7478","2","2"
"elegantandrogyne","GeertJohan","20150","7478","0","2"
"deniz1a","elegantandrogyne","20150","7478","2","0"
"chrisforbes","elegantandrogyne","20150","7478","2","0"
"deniz1a","MustaphaTR","20150","7478","2","2"
"GeertJohan","MustaphaTR","20150","7478","2","2"
"chrisforbes","MustaphaTR","20150","7478","2","2"
"elegantandrogyne","MustaphaTR","20150","7478","0","2"
"obrakmann","RoosterDragon","20150","7479","2022","2"
"Mailaender","RoosterDragon","20150","7479","22","2"
"Mailaender","obrakmann","20150","7479","22","2022"
"deniz1a","penev92","20150","7481","2","2"
"pchote","reaperrr","20150","7483","222","022"
"Mailaender","reaperrr","20150","7483","222","022"
"Mailaender","pchote","20150","7483","222","222"
"pchote","Unit158","20150","7484","0","2"
"Mailaender","Unit158","20150","7484","2","2"
"Mailaender","pchote","20150","7484","2","0"
"penev92","xan2622","20150","7485","02","2"
"LipkeGu","xan2622","20150","7485","2","2"
"dan9550","xan2622","20150","7485","2","2"
"Nelax","xan2622","20150","7485","2","2"
"pchote","xan2622","20151","7485","2","2"
"LipkeGu","penev92","20150","7485","2","02"
"dan9550","penev92","20150","7485","2","02"
"Nelax","penev92","20150","7485","2","02"
"pchote","penev92","20151","7485","2","02"
"dan9550","LipkeGu","20150","7485","2","2"
"LipkeGu","Nelax","20150","7485","2","2"
"dan9550","Nelax","20150","7485","2","2"
"LipkeGu","pchote","20150","7485","2","2"
"dan9550","pchote","20150","7485","2","2"
"Nelax","pchote","20150","7485","2","2"
"pchote","penev92","20150","7486","2","22"
"obrakmann","penev92","20150","7486","2","22"
"obrakmann","pchote","20150","7486","2","2"
"penev92","Phrohdoh","20150","7486","22","2"
"pchote","Phrohdoh","20150","7486","2","2"
"pevers","Phrohdoh","20150","7486","12","2"
"obrakmann","Phrohdoh","20150","7486","2","2"
"penev92","pevers","20150","7486","22","12"
"pchote","pevers","20150","7486","2","12"
"obrakmann","pevers","20150","7486","2","12"
"abcdefg30","Micr0Bit","20150","7487","02","22"
"deniz1a","Micr0Bit","20150","7487","2","22"
"Micr0Bit","obrakmann","20150","7487","22","222"
"abcdefg30","obrakmann","20150","7487","02","222"
"deniz1a","obrakmann","20150","7487","2","222"
"Micr0Bit","pchote","20150","7487","22","1"
"abcdefg30","pchote","20150","7487","02","1"
"obrakmann","pchote","20150","7487","222","1"
"deniz1a","pchote","20150","7487","2","1"
"abcdefg30","deniz1a","20150","7487","02","2"
"Micr0Bit","penev92","20150","7487","22","1"
"abcdefg30","penev92","20150","7487","02","1"
"obrakmann","penev92","20150","7487","222","1"
"pchote","penev92","20150","7487","1","1"
"deniz1a","penev92","20150","7487","2","1"
"chrisforbes","pchote","20150","7488","22","22"
"epicelite","LipkeGu","20150","7490","2","2"
"LipkeGu","penev92","20150","7490","2","2"
"epicelite","penev92","20150","7490","2","2"
"Mailaender","penev92","20151","7490","2","2"
"LipkeGu","Phrohdoh","20150","7490","2","2"
"epicelite","Phrohdoh","20150","7490","2","2"
"penev92","Phrohdoh","20150","7490","2","2"
"Mailaender","Phrohdoh","20151","7490","2","2"
"LipkeGu","Mailaender","20150","7490","2","2"
"epicelite","Mailaender","20150","7490","2","2"
"Computerfreaked","penev92","20150","7492","2","2212222"
"pchote","penev92","20150","7492","2","2212222"
"Mailaender","penev92","20150","7492","2222","2212222"
"obrakmann","penev92","20150","7492","1","2212222"
"abcdefg30","penev92","20150","7492","2","2212222"
"abcdefg30","Computerfreaked","20150","7492","2","2"
"Computerfreaked","pchote","20150","7492","2","2"
"Mailaender","pchote","20150","7492","2222","2"
"obrakmann","pchote","20150","7492","1","2"
"abcdefg30","pchote","20150","7492","2","2"
"Computerfreaked","Mailaender","20150","7492","2","2222"
"abcdefg30","Mailaender","20150","7492","2","2222"
"Computerfreaked","obrakmann","20150","7492","2","1"
