source,target,weight
bhouston,WestLangley,2
atul-mourya,bhouston,2
mrdoob,Mugen87,1
eastpiger,mrdoob,2
ChrisDenham,Mugen87,6
tentone,WestLangley,1
donmccurdy,looeee,3
looeee,Mugen87,2
donmccurdy,Mugen87,6
mrdoob,Mugen87,2
looeee,mrdoob,1
donmccurdy,mrdoob,3
agackakan,looeee,1
mrdoob,WestLangley,2
donmccurdy,takahirox,8
Itee,mrdoob,5
haroldiedema,mrdoob,1
haroldiedema,Itee,5
donmccurdy,takahirox,4
looeee,Mugen87,1
donmccurdy,takahirox,2
ItsTehStory,mrdoob,1
gero3,zsavicreative,1
donmccurdy,takahirox,1
donmccurdy,WestLangley,1
takahirox,WestLangley,1
crubier,WestLangley,2
dr0ps,looeee,2
aardgoose,mrdoob,4
mrdoob,takahirox,6
aardgoose,takahirox,6
mrdoob,Usnul,2
aardgoose,Usnul,2
takahirox,Usnul,3
mrdoob,WestLangley,1
sunag,WestLangley,1
mrdoob,sunag,1
Mugen87,WestLangley,1
StoneMa,WestLangley,1
Mugen87,StoneMa,1
looeee,Mugen87,1
donmccurdy,Mugen87,1
donmccurdy,looeee,1
Aadjou,WestLangley,1
emackey,takahirox,1
donmccurdy,takahirox,1
ekermer,takahirox,1
RyanFavale,takahirox,1
donmccurdy,emackey,1
ekermer,emackey,1
donmccurdy,ekermer,1
emackey,RyanFavale,1
donmccurdy,RyanFavale,1
ekermer,RyanFavale,1
Mugen87,WestLangley,2
AVGP,WestLangley,1
AVGP,Mugen87,2
alinhulea,mrdoob,2
donmccurdy,WestLangley,2
donmccurdy,zellski,2
WestLangley,zellski,1
elunty,WestLangley,1
sunag,WestLangley,3
bhouston,WestLangley,3
bhouston,sunag,1
danrossi,dmarcos,12
mrdoob,Mugen87,1
cnspaha,Mugen87,1
donmccurdy,takahirox,2
pailhead,sunag,3
backspaces,trusktr,1
donmccurdy,WestLangley,2
looeee,WestLangley,1
donmccurdy,looeee,2
brunnerh,mrdoob,1
looeee,Mugen87,1
kaisalmen,Mugen87,4
donmccurdy,Mugen87,1
kaisalmen,looeee,4
donmccurdy,looeee,1
donmccurdy,kaisalmen,4
charlesfleche,looeee,4
Mugen87,RubiconDev,1
donmccurdy,takahirox,1
emeyex,Mugen87,2
Mugen87,pailhead,1
emeyex,pailhead,2
1d2d3d,donmccurdy,1
donmccurdy,takahirox,1
1d2d3d,takahirox,1
1d2d3d,donmccurdy,1
Astrak,XanderLuciano,1
Itee,mrdoob,4
bhouston,richardmonette,2
trmehta5,WestLangley,1
gadlol,Mugen87,1
donmccurdy,takahirox,1
takahirox,webprofusion-chrisc,1
donmccurdy,webprofusion-chrisc,1
cnspaha,Mugen87,1
fernandojsg,takahirox,1
mrdoob,zellski,4
Mugen87,WestLangley,1
pailhead,WestLangley,2
Mugen87,pailhead,2
mrdoob,takahirox,1
mrdoob,takahirox,1
grorg,mrdoob,1
mrdoob,WestLangley,1
mrdoob,Usnul,1
Mugen87,Usnul,1
mrdoob,Mugen87,1
