source,target,weight
FuzzyWobble,jostschmithals,9
FuzzyWobble,looeee,16
FuzzyWobble,mrdoob,10
FuzzyWobble,takahirox,15
Fyrestar,JizZuS,3
Fyrestar,Mugen87,7
Fyrestar,WestLangley,3
Fyrestar,jeromeetienne,3
Fyrestar,mrdoob,4
Fyrestar,trusktr,3
GGAlanSmithee,Hyzeta,2
GGAlanSmithee,Mugen87,5
GGAlanSmithee,MusicalCreeper01,2
GGAlanSmithee,Rich-Harris,11
GGAlanSmithee,WestLangley,15
GGAlanSmithee,ghost,6
GGAlanSmithee,kintel,5
GGAlanSmithee,looeee,2
GGAlanSmithee,mrdoob,47
GGAlanSmithee,mybmgithub,5
GGAlanSmithee,nn4e,2
GGAlanSmithee,romanmarkelov,4
GGAlanSmithee,rtpHarry,2
GGAlanSmithee,satori99,6
GGAlanSmithee,sjlynch,3
GGAlanSmithee,trusktr,6
GGAlanSmithee,tschw,2
GGAlanSmithee,v1talM,2
GameKyuubi,JamesMilnerUK,4
GameKyuubi,MrSwitch,4
GameKyuubi,jwlarocque,4
GameKyuubi,kmoe,4
GameKyuubi,mrdoob,9
GameKyuubi,parris,4
GameKyuubi,partlyhuman,4
GameKyuubi,prashant4U,5
GameKyuubi,sjlynch,4
GameKyuubi,spacexplorer,4
GameKyuubi,stefek99,5
GameKyuubi,unphased,4
GameKyuubi,vk92kokil,4
Ganesh2,Mugen87,2
Ganesh2,RajatParihar17,2
Ganesh2,WestLangley,2
Ganesh2,makc,5
Ganesh2,mrdoob,7
Ganesh2,rashinema,2
Ganesh2,wysnan-wushuangqi,2
Ganesh2,zwollander,2
Gassepouille,Nimanf,5
Gassepouille,WestLangley,4
Gassepouille,greggman,2
Gassepouille,mrdoob,5
Gassepouille,satori99,2
George35mk,Mugen87,6
George35mk,WestLangley,2
George35mk,looeee,7
George35mk,mrdoob,4
George35mk,no-wa-ke,2
George35mk,stilllife00,3
Gethi,WestLangley,7
Gethi,moroine,9
Gethi,stanley92,2
GitHub1396,makc,9
GitRyanPerrin,WestLangley,6
GitRyanPerrin,mrdoob,4
Glinkis,Mugen87,13
GuillaumeLeclerc,Mugen87,2
GuillaumeLeclerc,SinaEghbal,5
GuillaumeLeclerc,TheJim01,4
GuillaumeLeclerc,WestLangley,4
GuillaumeLeclerc,joseBarreto,4
GuillaumeLeclerc,mattdesl,2
GuillaumeLeclerc,mrdoob,15
GuillaumeLeclerc,raphaelcunha,3
GurudathTS,Len0re,2
GurudathTS,makc,2
GurudathTS,oschvr,3
GurudathTS,varumora,2
GuyGood,Ni55aN,8
GuyGood,StephenHopkins,5
GuyGood,WestLangley,15
GuyGood,mrdoob,13
GuyGood,stephomi,3
GuyGood,zz85,7
HalfdanJ,mkeblx,3
HalfdanJ,mrdoob,4
Halocom,Mugen87,6
Halocom,WestLangley,5
Halocom,haroldiedema,5
HangchengQi,Itee,5
HangchengQi,Mugen87,7
HangchengQi,RemusMar,7
HangchengQi,kchapelier,5
HangchengQi,looeee,6
HangchengQi,mrdoob,5
HangchengQi,tentone,6
Hari-KrishnanV,mrdoob,2
Hcely,WestLangley,5
Hcely,mrdoob,3
Hectate,Itee,3
Hectate,Mevedia,7
Hectate,Mugen87,3
Hectate,WestLangley,10
Hectate,jbjw,5
Hectate,looeee,16
Hectate,mrdoob,18
Hectate,sasha240100,10
Hectate,satori99,5
Herst,Mugen87,3
Herst,Neesnu,3
Herst,SntsDev,3
Herst,WestLangley,9
Herst,jbaicoianu,3
Herst,jonnenauha,3
Herst,killroy42,7
Herst,mrdoob,9
HiZhaoxiaoyang,Mugen87,2
HiZhaoxiaoyang,mrdoob,2
HoldenCa,looeee,2
HypnosNova,Mugen87,11
HypnosNova,Usnul,3
HypnosNova,WestLangley,7
HypnosNova,jcyuan,2
HypnosNova,makc,4
HypnosNova,mrdoob,14
HypnosNova,msimpson,3
HypnosNova,takahirox,2
HyunmokMoon,Usnul,2
HyunmokMoon,WestLangley,2
Hyzeta,mrdoob,3
Hyzeta,romanmarkelov,4
Hyzeta,v1talM,2
I3ck,slahser1992,2
IRelLoveWeb,Mugen87,3
IRelLoveWeb,WestLangley,4
IRelLoveWeb,looeee,4
IRelLoveWeb,mikemeerschaert,8
IRelLoveWeb,mrdoob,2
IRelLoveWeb,sanonz,2
IamRizban,Mugen87,4
IamRizban,mrdoob,6
IamRizban,samiasultan,4
IceFrozen,Jad2wizard,6
