"name1","name2","issue_num","p1","p2"
"amelio-vazquez-reina","ivanov","136","2","2"
"Erotemic","ivanov","136","2","2"
"minrk","takluyver","137","22","2"
"fperez","takluyver","141","0202212201","2200222220222"
"fperez","rkern","148","2","2"
"ellisonbg","rkern","149","2002","220222"
"fperez","rkern","149","02","220222"
"ellisonbg","fperez","149","2002","02"
"dmirota","fperez","154","2","01"
"Carreau","ellisonbg","157","1","0"
"ellisonbg","minrk","157","0","2"
"Carreau","minrk","157","1","2"
"fperez","tomspur","158","1021","02"
"fperez","takluyver","159","112","22"
"epatters","minrk","162","2","2"
"ellisonbg","fperez","163","1211","01211112"
"ellisonbg","minrk","163","1211","2"
"fperez","minrk","163","01211112","2"
"ellisonbg","fperez","164","20012","1122"
"fperez","minrk","164","1122","00002202"
"ellisonbg","minrk","164","20012","00002202"
"epatters","fperez","166","2","1"
"ellisonbg","fperez","167","2","12"
"fperez","markvoorhies","167","12","22"
"ellisonbg","markvoorhies","167","2","22"
"fperez","minrk","168","1","1"
"minrk","takluyver","168","1","2"
"fperez","takluyver","168","1","2"
"fperez","minrk","169","012","22002"
"fperez","markvoorhies","170","1","101"
"markvoorhies","minrk","170","101","2022"
"fperez","minrk","170","1","2022"
"fperez","minrk","171","11","22"
"ddale","fperez","174","20222","101201"
"ellisonbg","fperez","174","2","101201"
"ddale","ellisonbg","174","20222","2"
"ellisonbg","minrk","175","2","22"
"ellisonbg","takluyver","175","2","2"
"minrk","takluyver","175","22","2"
"fperez","minrk","176","1","2"
"fperez","rkern","177","1","2"
"fperez","markvoorhies","179","20012221","22"
"jamesgao","markvoorhies","179","1112","22"
"ccordoba12","markvoorhies","179","2","22"
"ellisonbg","markvoorhies","179","0122","22"
"ivanistheone","markvoorhies","179","1","22"
"jasongrout","markvoorhies","179","201","22"
"ccordoba12","fperez","179","2","20012221"
"ellisonbg","fperez","179","0122","20012221"
"fperez","jamesgao","179","20012221","1112"
"ccordoba12","jamesgao","179","2","1112"
"ellisonbg","jamesgao","179","0122","1112"
"ivanistheone","jamesgao","179","1","1112"
"ccordoba12","ellisonbg","179","2","0122"
"fperez","ivanistheone","179","20012221","1"
"ccordoba12","ivanistheone","179","2","1"
"ellisonbg","ivanistheone","179","0122","1"
"fperez","jasongrout","179","20012221","201"
"jamesgao","jasongrout","179","1112","201"
"ccordoba12","jasongrout","179","2","201"
"ellisonbg","jasongrout","179","0122","201"
"ivanistheone","jasongrout","179","1","201"
"fperez","takluyver","180","1","2"
"fperez","jstenar","181","21112","2020"
"fperez","Phillip-M-Feldman","181","21112","2021"
"jstenar","Phillip-M-Feldman","181","2020","2021"
"minrk","Phillip-M-Feldman","181","00","2021"
"fperez","takluyver","181","21112","02222"
"jstenar","takluyver","181","2020","02222"
"Phillip-M-Feldman","takluyver","181","2021","02222"
"minrk","takluyver","181","00","02222"
"fperez","minrk","181","21112","00"
"jstenar","minrk","181","2020","00"
"fperez","takluyver","182","2","0"
"eteq","minrk","183","212","12"
"fperez","minrk","183","221","12"
"eteq","fperez","183","212","221"
"drewfrank","fperez","185","2","211021"
"fperez","lebedov","185","211021","212"
"ivanov","lebedov","185","222","212"
"drewfrank","lebedov","185","2","212"
"fperez","markvoorhies","185","211021","2222"
"lebedov","markvoorhies","185","212","2222"
"ivanov","markvoorhies","185","222","2222"
"drewfrank","markvoorhies","185","2","2222"
"fperez","ivanov","185","211021","222"
"drewfrank","ivanov","185","2","222"
"ellisonbg","fperez","188","0","1"
"evilrob666","fperez","189","1","02"
"fperez","jtriley","189","02","0"
"evilrob666","jtriley","189","1","0"
"ellisonbg","fperez","191","222","100"
"ellisonbg","tomspur","191","222","110012"
"fperez","tomspur","191","100","110012"
"ellisonbg","fperez","192","01","01"
"ellisonbg","tomspur","192","01","1"
"fperez","tomspur","192","01","1"
"ellisonbg","tomspur","193","02","02"
"minrk","tomspur","193","2","02"
"ellisonbg","minrk","193","02","2"
"ghost","minrk","194","0","1"
"fperez","minrk","194","1","1"
"fperez","ghost","194","1","0"
"fperez","rkern","195","1111","22"
"fperez","minrk","196","1","0"
"fperez","tcourbon","196","1","1"
"minrk","tcourbon","196","0","1"
"takluyver","tcourbon","196","2","1"
"fperez","takluyver","196","1","2"
"minrk","takluyver","196","0","2"
"fperez","minrk","197","102","2"
"jstenar","minrk","197","02","2"
"fperez","takluyver","197","102","2222"
"minrk","takluyver","197","2","2222"
"jstenar","takluyver","197","02","2222"
"fperez","jstenar","197","102","02"
"ddale","fperez","198","0","01"
"ellisonbg","fperez","199","2","121"
"fperez","rkern","199","121","202"
"ellisonbg","rkern","199","2","202"
"fperez","jstenar","200","22","022"
"fperez","takluyver","200","22","211"
"jstenar","takluyver","200","022","211"
"minrk","takluyver","203","2","1"
"K0stIa","limist","204","2","2"
"limist","minrk","204","2","2"
"K0stIa","minrk","204","2","2"
"limist","wilsaj","204","2","02"
"minrk","wilsaj","204","2","02"
"K0stIa","wilsaj","204","2","02"
"mhubig","minrk","206","12","0"
"minrk","yuchant","206","0","1"
"mhubig","yuchant","206","12","1"
"ellisonbg","minrk","209","202","0"
"meawoppl","minrk","211","2","212"
"meawoppl","takluyver","211","2","212"
"minrk","takluyver","211","212","212"
"meawoppl","zfogg","211","2","21"
"minrk","zfogg","211","212","21"
"takluyver","zfogg","211","212","21"
"dirjud","fperez","213","2","0"
"bfroehle","takluyver","214","2","0"
"minrk","takluyver","228","22","1"
"Adish","takluyver","232","2","22"
"mchandra","minrk","234","12222","0220"
"fperez","madhusudancs","235","00","0"
"fperez","takluyver","235","00","1"
"madhusudancs","takluyver","235","0","1"
"takluyver","tomspur","236","21","2"
"fperez","markvoorhies","237","1","2"
"markvoorhies","minrk","237","2","1"
"fperez","minrk","237","1","1"
"Carreau","ivanov","238","0","2221"
"ivanov","takluyver","238","2221","2"
"Carreau","takluyver","238","0","2"
"ivanov","willingc","238","2221","1"
"takluyver","willingc","238","2","1"
"Carreau","willingc","238","0","1"
"ellisonbg","takluyver","241","2","202"
"ellisonbg","takluyver","242","011222","20222112"
"minrk","takluyver","242","001","20222112"
"mchandra","takluyver","242","02","20222112"
"ellisonbg","minrk","242","011222","001"
"mchandra","minrk","242","02","001"
"ellisonbg","mchandra","242","011222","02"
"ellisonbg","takluyver","243","111","22"
"minrk","takluyver","243","20","22"
"fperez","takluyver","243","1","22"
"ellisonbg","minrk","243","111","20"
"fperez","minrk","243","1","20"
"ellisonbg","fperez","243","111","1"
"takluyver","tomspur","244","1","22"
"ivanov","jtriley","246","2","2"
"jtriley","minrk","246","2","2"
"ivanov","minrk","246","2","2"
"oolon","takluyver","248","0220","222"
"fperez","takluyver","249","1","2"
"ellisonbg","minrk","250","2","0"
"fperez","takluyver","251","101","122"
"fperez","rkern","252","11","021"
"minrk","rkern","252","2","021"
"rkern","takluyver","252","021","0222222"
"fperez","takluyver","252","11","0222222"
"minrk","takluyver","252","2","0222222"
"fperez","minrk","252","11","2"
"ellisonbg","fperez","254","1110","11000"
"fperez","minrk","254","11000","220"
"ellisonbg","minrk","254","1110","220"
"fperez","takluyver","259","12121","12"
"epatters","takluyver","259","22120","12"
"epatters","fperez","259","22120","12121"
"fperez","takluyver","261","1002","102222"
"rkern","takluyver","261","211","102222"
"fperez","rkern","261","1002","211"
"cshimmin","ellisonbg","262","2","2"
"ellisonbg","takluyver","262","2","2"
"cshimmin","takluyver","262","2","2"
"minrk","takluyver","262","2","2"
"ellisonbg","minrk","262","2","2"
"cshimmin","minrk","262","2","2"
"rkern","robsonpeixoto","263","2","0"
"fperez","omazapa","264","1211","1"
"fperez","rkern","264","1211","1"
"omazapa","rkern","264","1","1"
"fperez","rkern","265","1","2"
"rkern","takluyver","265","2","1"
"fperez","takluyver","265","1","1"
"epatters","fperez","266","2","11"
"epatters","minrk","266","2","1"
"fperez","minrk","266","11","1"
"fperez","minrk","267","2221","2222222"
"fperez","minrk","268","211","02"
