name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
fperez,wesm,2011-11-28,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
fperez,lodagro,2011-11-28,1,0,0,0,0.33,0.0,0.0,0.0,4,1,0.6699999999999999,1.0
lodagro,wesm,2011-11-28,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
fperez,wesm,2011-11-28,4,0,0,0,0.33,0.0,0.0,0.0,7,1,0.6699999999999999,1.0
fperez,wesm,2011-12-05,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lbeltrame,lodagro,2011-11-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
lbeltrame,wesm,2011-11-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-11-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
hugadams,pmacaodh,2012-11-26,1,0,0,1,0.25,0.0,0.0,0.25,5,1,0.75,0.0
ghost,pmacaodh,2012-11-26,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
pmacaodh,wesm,2012-11-26,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
hugadams,wesm,2012-11-26,3,0,0,0,0.75,0.0,0.0,0.0,5,1,0.75,1.0
ghost,wesm,2012-11-26,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ghost,hugadams,2012-11-26,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,0.75
hugadams,sglyon,2013-04-01,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
ghost,JamesPHoughton,2013-04-29,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
JamesPHoughton,nehalecky,2013-04-29,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
