developer1,developer2,ncr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
Mailaender,Marty,0.528,1,3526,7
Mailaender,Arular101,0.763,0,3526,7
Mailaender,Aquilar,0.762,6,3526,7
Mailaender,krisradio,0.529,1,3526,7
Mailaender,carlos444,0.412,3,3526,7
Mailaender,MartinCurwen,0.645,0,3526,7
Mailaender,AngryBirdz,0.879,0,3526,7
Mailaender,Computerfreaked,0.528,5,3526,7
Mailaender,ivicok,0.645,5,3526,7
Mailaender,ozzyyzzo4096,0.645,3,3526,7
Mailaender,Rowan94,0.763,3,3526,7
Mailaender,mylemans,0.334,2,3526,6
Mailaender,psydev,0.607,4,3526,6
Mailaender,Szunti,0.742,1,3526,6
Mailaender,PiDelport,0.606,1,3526,6
Mailaender,Narg6,0.06,3,3526,6
Mailaender,rautamiekka,0.742,2,3526,6
Mailaender,ChristianDK,0.607,3,3526,6
Mailaender,docholiday,0.333,1,3526,6
Mailaender,Walkman100,0.469,2,3526,6
Mailaender,Sora012,0.469,1,3526,6
Mailaender,svein83,0.469,1,3526,6
Mailaender,Omnomon,0.606,1,3526,6
Mailaender,salsero,0.742,1,3526,6
Mailaender,roundowl,0.742,1,3526,6
Mailaender,CanOPringles,0.879,2,3526,6
Mailaender,RRPRIME,0.469,1,3526,6
Mailaender,Inq8,0.469,0,3526,6
Mailaender,Beep6581,0.743,1,3526,6
Mailaender,marataziat,0.742,0,3526,6
Mailaender,JohnnyXP64,0.196,2,3526,6
Mailaender,SilverlineDev,0.879,2,3526,6
Mailaender,TGHoly,0.471,5,3526,6
Mailaender,fastslack,0.743,2,3526,6
Mailaender,RichSuther,0.333,3,3526,6
Mailaender,akoeplinger,0.879,3,3526,6
Mailaender,Boxhead78,0.469,3,3526,6
Mailaender,Herve-M,0.742,4,3526,6
Mailaender,Aneyrin,0.553,3,3526,5
Mailaender,hacklex,0.715,1,3526,5
Mailaender,XenGi,0.387,2,3526,5
Mailaender,lovenemesis,0.879,4,3526,5
Mailaender,Codes4Fun,0.715,4,3526,5
Mailaender,LordSyke,0.716,2,3526,5
Mailaender,mattathebest,0.553,1,3526,5
Mailaender,rmoriz,0.716,2,3526,5
Mailaender,PowaBanga,0.553,1,3526,5
Mailaender,tysonliddell,0.879,3,3526,5
Mailaender,Cilyena,0.879,1,3526,5
Mailaender,Askmewho,0.879,0,3526,5
Mailaender,Afijak,0.716,0,3526,5
Mailaender,ibrokemypie,0.715,1,3526,5
Mailaender,Wobling,0.715,1,3526,5
Mailaender,exaker,0.715,0,3526,5
Mailaender,iezed,0.388,1,3526,5
Mailaender,JColstrom,0.879,0,3526,5
Mailaender,MrRocket50,0.716,0,3526,5
Mailaender,DeadlySurprise,0.715,3,3526,5
Mailaender,bvandenbogaard,0.716,4,3526,5
Mailaender,LunaticEdit,0.552,2,3526,5
Mailaender,moviuro,0.716,5,3526,5
reaperrr,obrakmann,0.777,334,2661,2603
reaperrr,abcdefg30,0.7,360,2661,2373
reaperrr,penev92,0.733,222,2661,1840
reaperrr,GraionDilach,0.764,351,2661,1636
reaperrr,Phrohdoh,0.771,240,2661,1027
reaperrr,RoosterDragon,0.768,157,2661,668
reaperrr,atlimit8,0.844,118,2661,532
reaperrr,MustaphaTR,0.734,159,2661,488
reaperrr,Micr0Bit,0.684,135,2661,407
reaperrr,deniz1a,0.74,94,2661,406
reaperrr,SoScared,0.634,95,2661,341
reaperrr,rob-v,0.738,69,2661,337
reaperrr,Unit158,0.73,84,2661,296
reaperrr,LipkeGu,0.796,67,2661,292
reaperrr,ghost,0.676,97,2661,283
reaperrr,chrisforbes,0.757,64,2661,165
reaperrr,ltem,0.766,63,2661,149
reaperrr,MunWolf,0.755,34,2661,143
reaperrr,AoAGeneral,0.627,60,2661,141
reaperrr,matjaeck,0.659,25,2661,140
reaperrr,cjshmyr,0.704,62,2661,134
reaperrr,matija-hustic,0.73,40,2661,129
reaperrr,Snurre86,0.785,35,2661,128
reaperrr,HenrytheSlav,0.675,37,2661,123
reaperrr,xan2622,0.705,56,2661,121
reaperrr,pi99y,0.509,39,2661,115
reaperrr,forcecore,0.762,40,2661,96
reaperrr,TheRaffy,0.595,50,2661,93
reaperrr,Smittytron,0.706,35,2661,93
reaperrr,CH4Code,0.556,37,2661,91
reaperrr,teees,0.788,24,2661,80
reaperrr,clemty,0.714,45,2661,79
reaperrr,Rydra,0.642,15,2661,79
reaperrr,jaZzKCS,0.721,25,2661,76
reaperrr,Biofreak1987,0.802,30,2661,72
reaperrr,abc013,0.8,26,2661,71
reaperrr,huwpascoe,0.775,28,2661,70
reaperrr,yaaaaa,0.598,17,2661,67
reaperrr,ScottNZ,0.775,25,2661,62
reaperrr,dragunoff,0.644,20,2661,62
reaperrr,Nelax,0.59,18,2661,59
reaperrr,epicelite,0.671,29,2661,55
reaperrr,UberWaffe,0.669,28,2661,54
reaperrr,ShadowA,0.574,9,2661,51
reaperrr,tovl,0.605,12,2661,47
reaperrr,kyrreso,0.686,22,2661,46
reaperrr,FrameLimiter,0.826,17,2661,44
reaperrr,42foobar42,0.607,10,2661,42
reaperrr,KOYK,0.635,10,2661,40
reaperrr,kyrylo,0.543,15,2661,39
reaperrr,anjew175,0.713,19,2661,39
reaperrr,LavenderMoon,0.714,17,2661,39
reaperrr,pevers,0.533,12,2661,38
reaperrr,evgeniysergeev,0.881,15,2661,37
reaperrr,OmegaBolt,0.658,13,2661,33
reaperrr,dan9550,0.756,15,2661,33
reaperrr,AMHOL,0.574,8,2661,32
reaperrr,netnazgul,0.653,6,2661,32
reaperrr,whinis,0.803,12,2661,31
reaperrr,fgdzfggsfgsfgsf,0.521,7,2661,25
reaperrr,xp65,0.29,10,2661,25
reaperrr,airetaM,0.649,14,2661,25
reaperrr,ihptru,0.848,12,2661,24
reaperrr,Mortecha,0.432,5,2661,24
reaperrr,gdavegdave,0.709,10,2661,24
reaperrr,RadicalEdward2,0.508,10,2661,24
reaperrr,rapgro,0.667,9,2661,23
reaperrr,GrayHatter,0.623,10,2661,22
reaperrr,FRenzy-OpenRA,0.506,7,2661,22
reaperrr,ChaoticMind,0.511,11,2661,22
reaperrr,Townes27,0.723,10,2661,21
reaperrr,tohava,0.689,6,2661,21
reaperrr,ubitux,0.804,9,2661,21
reaperrr,Punsho,0.843,6,2661,21
reaperrr,dtluna,0.632,6,2661,20
reaperrr,Aaron-Lloyd,0.708,6,2661,19
reaperrr,Truth99A,0.583,3,2661,19
reaperrr,ABrandau,0.712,7,2661,19
reaperrr,Sapena,0.622,2,2661,19
reaperrr,sajwang,0.486,9,2661,19
reaperrr,StormWingDelta,0.535,13,2661,19
reaperrr,paulvt,0.79,8,2661,18
reaperrr,cookgreen,0.79,6,2661,18
reaperrr,teinarss,0.652,7,2661,18
reaperrr,fusion809,0.692,7,2661,17
reaperrr,sinf,0.641,5,2661,17
reaperrr,Zjordy,0.305,8,2661,16
reaperrr,IceReaper,0.629,9,2661,16
reaperrr,DrMelon,0.678,2,2661,16
reaperrr,hypercube33,0.774,4,2661,15
reaperrr,klaas1,0.393,5,2661,15
reaperrr,RockyTV,0.774,5,2661,15
reaperrr,SMIFFGIG,0.718,7,2661,15
reaperrr,Templarfreak,0.666,2,2661,15
reaperrr,jrb0001,0.61,8,2661,15
reaperrr,drogoganor,0.606,4,2661,15
reaperrr,chazechad,0.72,4,2661,15
reaperrr,GSonderling,0.612,2,2661,15
reaperrr,Murto,0.648,7,2661,14
reaperrr,jtyle6,0.821,4,2661,14
reaperrr,Sininini,0.531,6,2661,14
reaperrr,e1d1s1,0.416,3,2661,14
reaperrr,RockYourBuddy,0.589,4,2661,14
reaperrr,jabbink,0.708,7,2661,14
reaperrr,Arcitectus,0.757,3,2661,13
reaperrr,Phoib,0.817,4,2661,13
reaperrr,Basti504,0.693,8,2661,13
reaperrr,runeavalon,0.244,3,2661,13
reaperrr,DSUK,0.693,5,2661,13
reaperrr,DoGyAUT,0.677,7,2661,12
reaperrr,aydjay,0.538,9,2661,12
reaperrr,collimation,0.731,3,2661,11
reaperrr,Apollo-X,0.661,6,2661,11
reaperrr,bateramos,0.365,6,2661,11
reaperrr,Baxxster,0.732,6,2661,11
reaperrr,probonopd,0.658,6,2661,11
reaperrr,theKalash,0.808,6,2661,11
reaperrr,Nyerguds,0.36,3,2661,11
reaperrr,Nineeva,0.504,5,2661,11
reaperrr,j2k15,0.58,1,2661,11
reaperrr,colonelpopcorn,0.717,3,2661,10
reaperrr,KevinYeti,0.549,4,2661,10
reaperrr,Turupawn,0.134,3,2661,10
reaperrr,noamyogev84,0.549,3,2661,10
reaperrr,SteelPhase,0.881,4,2661,10
reaperrr,VanDeWetering,0.788,3,2661,9
reaperrr,ThisBlunt,0.702,6,2661,9
reaperrr,Raymond-cnc,0.602,3,2661,9
reaperrr,lovalmidas,0.426,4,2661,9
reaperrr,mazarf,0.702,5,2661,9
reaperrr,skruw,0.513,3,2661,9
reaperrr,ROCKNROLLKID,0.609,4,2661,9
reaperrr,JoshuaPettus,0.33,4,2661,9
reaperrr,Muh-Muh,0.609,3,2661,9
reaperrr,avalach21,0.244,3,2661,9
reaperrr,Smith00101010,0.792,3,2661,9
