name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
isabellewei,murgatroid99,2,0,0,0,0.67,0.0,0.0,0.0,4,1,0.0,0.968,1,2107
grpc-kokoro,muxi,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.873,3106,781
ctiller,grpc-kokoro,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.945,0.487,3377,3106
ctiller,vjpai,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.945,0.895,3377,1870
grpc-kokoro,vjpai,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.895,3106,1870
stanley-cheung,SurferJeffAtGoogle,2,0,0,0,0.67,0.0,0.0,0.0,4,1,0.854,1.0,684,13
anuraaga,wenbozhu,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.0,0.783,1,50
grpc-kokoro,markdroth,11,0,0,0,0.33,0.0,0.0,0.0,14,1,0.487,0.884,3106,1231
grpc-kokoro,y-zeng,22,0,0,0,0.4,0.0,0.0,0.0,16,1,0.487,0.814,3106,444
markdroth,y-zeng,5,3,3,0,0.33,0.2,0.2,0.0,8,1,0.884,0.814,1231,444
jgung,virusdefender,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,0.0,3,4
liranbg,virusdefender,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,3,4
nathanielmanistaatgoogle,virusdefender,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.875,0.0,2027,4
jgung,liranbg,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,0.0,3,3
jgung,nathanielmanistaatgoogle,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.5,0.875,3,2027
liranbg,nathanielmanistaatgoogle,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.0,0.875,3,2027
Grsmto,murgatroid99,8,0,0,0,0.8,0.0,0.0,0.0,11,1,0.0,0.968,7,2107
Maijied,murgatroid99,8,0,0,0,0.8,0.0,0.0,0.0,11,1,0.0,0.968,17,2107
mrpatel15,murgatroid99,8,0,0,0,0.8,0.0,0.0,0.0,11,1,0.0,0.968,7,2107
murgatroid99,Oted,16,0,0,0,0.8,0.0,0.0,0.0,12,1,0.968,0.0,2107,7
Grsmto,Oted,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.0,0.0,7,7
nooballday,Oted,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0,7,7
Maijied,Oted,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.0,0.0,17,7
mrpatel15,Oted,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.0,0.0,7,7
murgatroid99,nooballday,2,0,0,2,0.2,0.0,0.0,0.2,11,1,0.968,1.0,2107,7
Grsmto,nooballday,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0,7,7
Maijied,nooballday,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0,17,7
mrpatel15,nooballday,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0,7,7
murgatroid99,yoitsro,8,0,0,0,0.8,0.0,0.0,0.0,11,1,0.968,0.5,2107,8
Grsmto,yoitsro,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.5,7,8
Oted,yoitsro,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.0,0.5,7,8
nooballday,yoitsro,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.5,7,8
Maijied,yoitsro,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.5,17,8
mrpatel15,yoitsro,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.5,7,8
xelra,yoitsro,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.5,0.5,7,8
Grsmto,Maijied,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,7,17
Grsmto,mrpatel15,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,7,7
Maijied,mrpatel15,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,17,7
murgatroid99,xelra,2,2,0,2,0.1,0.1,0.0,0.1,12,1,0.968,0.5,2107,7
Grsmto,xelra,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,0.5,7,7
Oted,xelra,0,0,0,0,0.0,0.0,0.0,0.0,4,1,0.0,0.5,7,7
nooballday,xelra,1,1,0,1,0.5,0.5,0.0,0.5,3,1,1.0,0.5,7,7
Maijied,xelra,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,0.5,17,7
mrpatel15,xelra,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,0.5,7,7
nathanielmanistaatgoogle,sulliwane,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.875,0.5,2027,45
grpc-kokoro,ncteisen,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.487,0.942,3106,916
grpc-kokoro,ncteisen,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.942,3106,916
grpc-kokoro,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.908,3106,1236
