"name1","name2","issue_num","p1","p2"
"tangjiaxi","wilsonwen","741","2","22"
"LisaFC","tangjiaxi","741","2","2"
"nicolasnoble","x1957","742","2","22"
"methane","nathanielmanistaatgoogle","757","0","02"
"ctiller","nathanielmanistaatgoogle","758","022","222"
"donnadionne","googlebot","777","2","1"
"ctiller","vjpai","782","2","2"
"stanley-cheung","tbetbetbe","796","2","22"
"ctiller","jboeuf","801","20","21"
"ctiller","murgatroid99","803","2","2"
"ctiller","jayantkolhe","807","2","2"
"ctiller","yang-g","817","22","222"
"mugurm","thelinuxfoundation","820","2","1"
"ctiller","mugurm","823","2","222"
"jtattermusch","mugurm","823","2","222"
"craigcitro","mugurm","823","22","222"
"jayantkolhe","mugurm","823","0","222"
"craigcitro","ctiller","823","22","2"
"mugurm","nathanielmanistaatgoogle","823","222","22"
"ctiller","nathanielmanistaatgoogle","823","2","22"
"jtattermusch","nathanielmanistaatgoogle","823","2","22"
"craigcitro","nathanielmanistaatgoogle","823","22","22"
"jayantkolhe","nathanielmanistaatgoogle","823","0","22"
"ctiller","jtattermusch","823","2","2"
"craigcitro","jtattermusch","823","22","2"
"jayantkolhe","jtattermusch","823","0","2"
"ctiller","jayantkolhe","823","2","0"
"craigcitro","jayantkolhe","823","22","0"
"nathanielmanistaatgoogle","soltanmm","830","22","2"
"ctiller","vjpai","833","1","22"
"ctiller","nathanielmanistaatgoogle","834","22202","22"
"ejona86","nathanielmanistaatgoogle","834","02","22"
"ctiller","ejona86","834","22202","02"
"ctiller","nicolasnoble","835","2222","2"
"nathanielmanistaatgoogle","nicolasnoble","835","2","2"
"ctiller","nathanielmanistaatgoogle","835","2222","2"
"ctiller","vjpai","837","2","222"
"ctiller","yang-g","838","2","2"
"haberman","nathanielmanistaatgoogle","841","2","2"
"googlebot","Orphis","845","11","1"
"ctiller","googlebot","846","2","212"
"googlebot","nicolasnoble","846","212","2"
"ctiller","nicolasnoble","846","2","2"
"murgatroid99","Rican7","851","2","2"
"jtattermusch","nicolasnoble","852","2","2"
"ctiller","googlebot","853","2","2"
"ctiller","nicolasnoble","854","2222","22"
"jboeuf","nicolasnoble","854","22","22"
"ctiller","jboeuf","854","2222","22"
"ctiller","vjpai","856","22222","2102222"
"nicolasnoble","vjpai","856","22","2102222"
"ctiller","nicolasnoble","856","22222","22"
"googlebot","nicolasnoble","859","2","2"
"ctiller","nicolasnoble","865","222","2221"
"jtattermusch","nathanielmanistaatgoogle","866","2","222"
"nathanielmanistaatgoogle","soltanmm","866","222","2"
"jtattermusch","soltanmm","866","2","2"
"nicolasnoble","ryanseys","868","12","1"
"ctiller","nicolasnoble","870","2","2"
"ctiller","vjpai","872","222","222"
"ctiller","googlebot","876","1","2"
"googlebot","jtattermusch","876","2","2"
"ctiller","jtattermusch","876","1","2"
"nicolasnoble","nmittler","877","2","2"
"nmittler","yang-g","877","2","22"
"nicolasnoble","yang-g","877","2","22"
"donnadionne","googlebot","885","2","1"
"googlebot","thelinuxfoundation","885","1","1"
"donnadionne","thelinuxfoundation","885","2","1"
"ctiller","nicolasnoble","886","22","2"
"jtattermusch","nicolasnoble","890","022","1"
"nicolasnoble","w359405949","890","1","2"
"jtattermusch","w359405949","890","022","2"
"Thaina","w359405949","890","22","2"
"nicolasnoble","Thaina","890","1","22"
"jtattermusch","Thaina","890","022","22"
"iamqizhao","proppy","892","22","2"
