name,year_week,issue_num,label
ellisonbg,201113,317,2
efiring,201112,318,0
fperez,201112,318,02
minrk,201112,318,2
takluyver,201112,318,022
fperez,201113,318,20
takluyver,201113,318,0
minrk,201114,318,2
takluyver,201114,318,2
efiring,201112,319,1
fperez,201112,319,0
takluyver,201112,319,2
takluyver,201113,319,222222
fperez,201113,319,100001
minrk,201113,320,22
takluyver,201113,320,222
aroscoe,201113,320,1
fperez,201113,320,02
minrk,201113,321,2
takluyver,201113,322,221
takluyver,201113,323,1
minrk,201113,325,22220
takluyver,201113,325,22002
ellisonbg,201113,325,02
fperez,201113,325,11011
minrk,201114,325,22222
fperez,201114,325,112
ellisonbg,201114,325,1221
mrceresa,201114,325,1
minrk,201113,326,22
ellisonbg,201113,326,2
minrk,201114,326,2
minrk,201115,326,22
ellisonbg,201115,326,2
takluyver,201113,327,10221
antocuni,201113,327,022
takluyver,201113,328,20
takluyver,201113,329,2
takluyver,201113,330,22
fperez,201113,330,1
fperez,201113,331,1
takluyver,201114,332,2221222
ellisonbg,201114,332,0011
fperez,201114,332,1220
fperez,201114,334,22
takluyver,201114,334,12
fperez,201114,335,0220
ellisonbg,201114,335,0222
minrk,201114,335,2222
rkern,201114,335,2222
fperez,201114,336,2
takluyver,201114,337,20
dwf,201114,337,11
minrk,201114,337,2
rkern,201114,338,20
epatters,201114,338,221
fperez,201114,338,1011
fperez,201114,339,111
dwf,201114,339,2
minrk,201118,340,2
ellisonbg,201123,340,2
ellisonbg,201125,340,2
takluyver,201114,341,202
fperez,201114,341,0
minrk,201114,341,122
minrk,201115,341,2
takluyver,201114,342,2220
dwf,201114,342,220
takluyver,20158,342,2
ddale,201115,343,2
minrk,201115,343,02
fperez,201115,343,2
takluyver,201114,344,2
fperez,201114,344,1
fperez,201114,345,20
dwf,201114,345,22
takluyver,201114,346,1
dwf,201114,346,01
fperez,201114,346,1
minrk,201114,347,122
fperez,201114,347,00
takluyver,201114,347,02
fperez,201114,348,1
fperez,201114,349,2
minrk,201114,349,2
fperez,201115,349,21
takluyver,201115,349,1
takluyver,201114,350,22
ellisonbg,201115,350,222
takluyver,201115,350,222
ddale,201114,351,0
ellisonbg,201115,351,00
ddale,201115,351,20
minrk,201125,351,2
fperez,201114,352,222
dwf,201114,352,212
takluyver,201114,353,22110
dwf,201114,353,022
fperez,201114,353,0
fperez,201115,353,122
dwf,201115,353,1
fperez,201114,354,1
fperez,201114,355,1
takluyver,201115,355,2
ellisonbg,201115,355,01
fperez,201115,355,1
fperez,201115,356,122
epatters,201115,356,2
fperez,201115,357,221100
takluyver,201115,357,2222
dwf,201115,357,2200
Carreau,201629,358,2
epatters,201115,359,2
fperez,201115,359,1
Carreau,201151,359,2
Carreau,201629,359,2
fperez,201115,360,21
takluyver,201115,360,212
ddale,201115,361,2
minrk,201115,361,2
fperez,201115,361,1
takluyver,201115,362,2
minrk,201116,362,2
takluyver,201115,363,2
minrk,201115,363,22
fperez,201115,363,1
ellisonbg,201115,363,1
fperez,201115,364,01
takluyver,201115,364,2
fperez,201115,365,2
DaveHirschfeld,201115,365,20
minrk,201115,365,0
minrk,201116,365,22
epatters,201119,366,2
epatters,201115,367,212
methane,201115,367,22
fperez,201115,367,1
minrk,201115,368,2
fperez,201115,368,2
minrk,201116,368,2
fperez,201115,369,2
ddale,201121,369,2
minrk,201121,369,2
fperez,201121,369,1
minrk,201125,369,2
mdboom,201115,370,22202
ellisonbg,201115,370,00
fperez,201115,370,0
minrk,201116,370,22
ellisonbg,201116,370,22
rkern,201116,370,2
epatters,201115,371,2
takluyver,201120,371,2
minrk,201126,371,2
eteq,201126,371,1
fperez,201115,372,1
ellisonbg,201115,373,21
takluyver,201115,373,01222
fperez,201115,373,12201
fperez,201115,374,00
minrk,201115,374,022
ellisonbg,201116,374,22
minrk,201116,374,0
minrk,201115,375,212
jstenar,201115,375,221
takluyver,201115,375,0221221
minrk,201115,376,2
takluyver,201118,376,2
minrk,201115,377,2
minrk,201124,378,0
minrk,201125,378,02
fperez,201148,378,21
jstenar,201148,378,2
fperez,201115,379,1
fperez,201115,380,221
epatters,201115,380,20
ellisonbg,201115,381,2210
fperez,201115,381,222
mdboom,201115,381,02
ellisonbg,201116,381,2
ellisonbg,201120,381,22
fperez,201120,381,1
mdboom,201120,381,2
fperez,201115,382,11
takluyver,201115,382,22
fperez,201115,383,11
takluyver,201115,383,1
fperez,201115,384,200112
takluyver,201115,384,20200
minrk,201115,384,2
takluyver,201118,384,2
takluyver,201120,384,2
fperez,201120,384,1
fperez,201133,384,2
fperez,201115,385,2
minrk,201115,385,2
minrk,201115,386,222
fperez,201115,386,0
minrk,201115,387,22
fperez,201115,387,00
takluyver,201115,387,22
takluyver,201116,387,2
epatters,201118,388,1
minrk,201119,388,200
epatters,201119,388,001
minrk,201115,389,2
kaazoo,201116,389,1
