name,year_week,issue_num,label
Phrohdoh,201518,7538,2
pchote,201519,7538,0
pevers,20159,7539,2
abcdefg30,20159,7539,0
ghost,20159,7539,2
penev92,20159,7539,2
Snurre86,201520,7539,2
Snurre86,20161,7539,2
fgdzfggsfgsfgsf,20165,7539,2
Codes4Fun,20166,7539,02
Snurre86,201647,7539,2
obrakmann,20159,7540,2
Mailaender,20159,7540,2
penev92,20159,7540,2
obrakmann,201510,7541,0
pchote,201510,7541,0
obrakmann,201511,7541,2
abcdefg30,201512,7541,1
penev92,201512,7541,20222
Mailaender,201512,7541,20
DeadlySurprise,201511,7542,2
obrakmann,201511,7542,2
Phrohdoh,201511,7542,222
Mailaender,201511,7542,22
Mailaender,20159,7543,22
RoosterDragon,20159,7543,22
LipkeGu,20159,7543,2
huwpascoe,20159,7543,2
RoosterDragon,201511,7543,200
penev92,201511,7543,22
huwpascoe,201511,7543,0
pchote,201511,7543,1
RoosterDragon,20159,7544,12
pevers,20159,7544,1112
obrakmann,20159,7544,2
pevers,201510,7544,122
obrakmann,201510,7544,121
penev92,20159,7545,0
Snurre86,20159,7545,2
reaperrr,201511,7545,2
Snurre86,201647,7545,11
pchote,201647,7545,2
Snurre86,201712,7545,2
Snurre86,201520,7546,2
atimoschenkow,201530,7546,2
pchote,20159,7547,2
Phrohdoh,20159,7547,2
penev92,20159,7547,22
pevers,20159,7547,2
penev92,20159,7548,2
deniz1a,20159,7548,2
chrisforbes,20159,7549,2
AoAGeneral,201510,7549,0
AoAGeneral,201517,7549,2
Mailaender,201523,7549,2
Phrohdoh,20159,7550,2
Nelax,20159,7550,2
penev92,20159,7551,2
Phrohdoh,20159,7551,1
Phrohdoh,201514,7551,2
penev92,201519,7551,2
penev92,201541,7551,2
pchote,201635,7551,2
Phrohdoh,20159,7552,22
penev92,20159,7552,002
pchote,20159,7552,2
LipkeGu,20159,7552,2
Nelax,20159,7552,2
abcdefg30,20159,7553,1
pchote,20159,7554,2
Mailaender,20159,7554,2
obrakmann,20159,7554,12
pchote,20159,7555,02
besuikerd,20159,7555,212
Mailaender,20159,7555,2
Phrohdoh,20159,7555,2
penev92,20159,7555,01
obrakmann,20159,7555,01
Phrohdoh,20159,7556,22
chrisforbes,20159,7556,2
LipkeGu,20159,7556,2
MustaphaTR,20159,7556,2
hypercube33,201542,7556,2
Nelax,20159,7557,2
Micr0Bit,20159,7557,2
penev92,20159,7557,22
christopherSlavik,20159,7557,2
Phrohdoh,20159,7557,2
MustaphaTR,20159,7557,1
Mailaender,20159,7557,2
Phrohdoh,20159,7558,2
penev92,20159,7558,22
pchote,20159,7558,22
pchote,201547,7558,2
penev92,201548,7558,2
reaperrr,201642,7558,2
MustaphaTR,201642,7558,2
penev92,20159,7559,22202
Nelax,20159,7559,021
Freddiie,20159,7559,12
Sithil-F,20159,7559,2
dan9550,201510,7559,2
Nelax,201510,7559,0
LipkeGu,201510,7559,2
penev92,201510,7559,2
Phrohdoh,201510,7559,2
penev92,201512,7559,2
Freddiie,201512,7559,2
MunWolf,201513,7559,2
penev92,201516,7559,2
hkhf12,201516,7559,2
pchote,201520,7559,2
Mailaender,20159,7560,2
RoosterDragon,20159,7560,0
pchote,20159,7560,2
RoosterDragon,201511,7560,2
Mailaender,201512,7560,2
pchote,201512,7560,22
Mailaender,20159,7561,222
pchote,20159,7561,22
RoosterDragon,20159,7561,2
Rydra,20159,7561,2
obrakmann,201510,7561,2
RoosterDragon,201511,7561,2
penev92,201512,7561,1
Mailaender,201512,7561,12
abcdefg30,20159,7562,2
Mailaender,20159,7562,2
obrakmann,20159,7562,22
penev92,201510,7563,2
ScottNZ,201510,7563,1
Snurre86,201511,7563,2
Snurre86,201518,7563,2
penev92,20159,7564,2
obrakmann,20159,7564,2
Rydra,20159,7565,220
LipkeGu,20159,7565,12
pchote,20159,7565,0
MunWolf,20159,7565,2
penev92,201510,7565,22
Rydra,201510,7565,22121
MunWolf,201510,7565,2
pchote,201510,7565,0
Mailaender,201512,7565,2
Rydra,201512,7565,2
Rydra,201513,7565,2022
pchote,201513,7565,02
Unit158,201513,7565,0
RoosterDragon,201513,7565,0
huwpascoe,201513,7565,02
Mailaender,201513,7565,21
penev92,20159,7566,2
deniz1a,20159,7566,2220202
pchote,20159,7566,222
LipkeGu,20159,7566,2
Mailaender,20159,7566,222
pchote,20199,7566,2
pevers,20159,7567,2
LipkeGu,20159,7567,2
penev92,20159,7567,2
Snurre86,201510,7567,2
penev92,201510,7567,02
pevers,201510,7567,2
Phrohdoh,201510,7567,2
pchote,201510,7567,2
Micr0Bit,20159,7568,2
Mailaender,20159,7568,2
Mailaender,201523,7568,2
chrisforbes,20159,7569,2
obrakmann,201510,7570,2
Mailaender,201510,7570,2
reaperrr,201511,7570,1
pchote,20159,7571,2
Phrohdoh,20159,7571,22
Mailaender,20159,7571,22
penev92,20159,7571,0
Micr0Bit,20159,7571,2
ScottNZ,201510,7571,2
pchote,201511,7571,2
Mailaender,201511,7571,2222
penev92,201511,7571,20
Micr0Bit,201511,7571,22
ScottNZ,201511,7571,2
Micr0Bit,201519,7571,1
Mailaender,201519,7571,2
penev92,20159,7572,2
Nelax,20159,7572,2
dan9550,201510,7572,2
Nelax,201510,7572,222
xan2622,201510,7572,022
pchote,201510,7572,2
RoosterDragon,201510,7572,2
ghost,201510,7572,2
Phrohdoh,201510,7572,1
dan9550,201511,7572,2
xan2622,201511,7572,0
MunWolf,201511,7572,2
Biofreak1987,201530,7572,2
xan2622,201530,7572,2
ghost,201530,7572,2
Biofreak1987,201553,7572,2
xan2622,201553,7572,2
xan2622,201653,7572,200
pchote,201653,7572,21
dan9550,20161,7572,2
xan2622,20162,7572,2
Biofreak1987,20162,7572,2
pchote,20162,7572,2
Mailaender,20159,7573,2
bvandenbogaard,20159,7573,1
pchote,201510,7573,1
Phrohdoh,201510,7573,2
bvandenbogaard,201510,7573,22
Phrohdoh,201511,7573,1222
Mailaender,201511,7573,2
bvandenbogaard,201511,7573,2
abcdefg30,201511,7573,2
pchote,201513,7573,2
bvandenbogaard,201514,7573,2
Mailaender,201514,7573,2
pchote,201514,7573,2
pchote,201510,7574,22
Mailaender,201510,7574,2
Mailaender,201511,7574,2
xan2622,201511,7574,02
Mailaender,201512,7574,2
Mailaender,201510,7575,2
dan9550,201510,7575,2
pchote,201510,7576,2
Nelax,201510,7576,2
imadsawal,201510,7576,2
obrakmann,201510,7576,0
pchote,201512,7577,1
reaperrr,201512,7577,2
DavidARussell,201512,7578,2
TGHoly,201512,7578,1
obrakmann,201510,7579,22
Mailaender,201510,7579,022
penev92,201510,7579,122
obrakmann,201510,7580,22
Phrohdoh,201510,7580,2221
Mailaender,201510,7580,222
reaperrr,201510,7581,2
pchote,201510,7581,2
Phrohdoh,201510,7581,222
Mailaender,201511,7581,2
Phrohdoh,201511,7581,2
abcdefg30,201512,7581,2
Mailaender,201512,7581,12
pchote,201836,7583,0
penev92,201510,7584,22
Snurre86,201510,7584,2
Snurre86,201520,7584,2
MunWolf,201510,7585,2
Phrohdoh,201510,7585,2
pchote,201510,7585,2
Mailaender,201528,7585,2
GraionDilach,201528,7585,2
obrakmann,201510,7586,2
Mailaender,201510,7586,2
obrakmann,201510,7587,22
Mailaender,201510,7588,22
Unit158,201510,7588,2
chrisforbes,201510,7588,2
Micr0Bit,201510,7588,22
tomsons26,201510,7588,1
Phrohdoh,201510,7588,2
xan2622,201510,7589,21
Mailaender,201510,7589,22
katzsmile,201510,7589,2
OmegaBolt,201511,7589,2222
katzsmile,201511,7589,22
penev92,201511,7589,02
Nelax,201511,7589,222
xan2622,201511,7589,2
Phrohdoh,201511,7589,2
Mailaender,201512,7589,2
Smittytron,201830,7590,2
pchote,201510,7591,22
Snurre86,201510,7591,222
deniz1a,201510,7591,2
MunWolf,201510,7591,222
Micr0Bit,201510,7591,22
penev92,201510,7591,221
obrakmann,201510,7591,0
Mailaender,201510,7591,1
Snurre86,201511,7591,1
Snurre86,201510,7592,22222
penev92,201510,7592,202
Phrohdoh,201510,7592,222
pchote,201510,7592,1
SMIFFGIG,201533,7592,2
Snurre86,20161,7592,2
GraionDilach,201629,7592,2
pchote,201629,7592,2
Snurre86,201647,7592,12
obrakmann,201510,7593,2
RoosterDragon,201511,7593,2
Phrohdoh,201511,7593,2
obrakmann,201511,7593,2
obrakmann,201510,7594,22
pchote,201510,7594,22
Phrohdoh,201510,7594,20
obrakmann,201510,7595,2222
MunWolf,201510,7595,22222
Mailaender,201510,7595,222
Phrohdoh,201510,7595,2
Phrohdoh,201511,7595,2
MunWolf,201511,7595,2
obrakmann,201511,7595,2
MunWolf,201512,7595,2
obrakmann,201512,7595,2
Mailaender,201510,7596,2
penev92,201510,7597,2
MunWolf,201510,7597,2
Mailaender,201512,7597,2
penev92,201514,7597,22
penev92,201519,7597,2
Phrohdoh,201510,7598,2
obrakmann,201510,7599,1
penev92,201510,7599,1
abcdefg30,201510,7600,2
Mailaender,201510,7601,2
Phrohdoh,201510,7601,22
obrakmann,201510,7601,22
Phrohdoh,201510,7602,2
deniz1a,201510,7603,0
Nelax,201510,7603,2
reaperrr,201511,7603,2
daynemarais,201631,7603,2
GraionDilach,201631,7603,2
Snurre86,20162,7604,22
ShadowA,20162,7604,12
penev92,20162,7604,2
