name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
fperez,takluyver,20111,2,0,0,0,0.4,0.0,0.0,0.0,6,1,0.8,1.0
paykroyd,takluyver,20111,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
fperez,takluyver,20111,2,0,0,0,0.4,0.0,0.0,0.0,6,1,0.8,1.0
paykroyd,takluyver,20111,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
fperez,paykroyd,20111,4,0,0,0,0.4,0.0,0.0,0.0,7,1,0.8,1.0
fperez,minrk,20101,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,minrk,20101,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,2,8,0,2,0.17,0.67,0.0,0.17,13,1,0.0,0.83
fperez,ipython,20101,22,0,0,0,0.65,0.0,0.0,0.0,19,1,1.0,0.71
ipython,takluyver,20100,11,0,0,0,0.65,0.0,0.0,0.0,18,1,0.71,1.0
fperez,takluyver,20101,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jrus,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
minrk,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,jrus,20100,11,0,0,0,0.65,0.0,0.0,0.0,18,1,0.71,1.0
fperez,jrus,20101,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ipython,minrk,20100,11,0,0,0,0.65,0.0,0.0,0.0,18,1,0.71,1.0
fperez,minrk,20101,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jrus,minrk,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ellisonbg,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
minrk,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ellisonbg,minrk,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,2,3,0,2,0.07,0.1,0.0,0.07,11,1,0.6,0.83
dwf,ipython,20110,5,0,0,0,0.83,0.0,0.0,0.0,7,1,1.0,0.83
ipython,minrk,20100,15,0,0,0,0.83,0.0,0.0,0.0,9,1,0.83,1.0
fperez,minrk,20110,0,0,0,0,0.0,0.0,0.0,0.0,8,1,0.6,1.0
dwf,minrk,20110,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
dwf,fperez,20110,0,0,0,0,0.0,0.0,0.0,0.0,6,1,1.0,0.6
ipython,takluyver,20100,5,0,0,0,0.83,0.0,0.0,0.0,7,1,0.83,1.0
minrk,takluyver,20110,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
fperez,takluyver,20110,0,0,0,0,0.0,0.0,0.0,0.0,6,1,0.6,1.0
dwf,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
minrk,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
emaror,ipython,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
fperez,ipython,20110,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
bfroehle,ipython,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
ipython,tknbamn,20100,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
emaror,tknbamn,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,tknbamn,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
bfroehle,tknbamn,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
bfroehle,emaror,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
emaror,fperez,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
bfroehle,fperez,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,Shougo,20100,4,0,0,0,0.67,0.0,0.0,0.0,5,1,1.0,0.6699999999999999
methane,Shougo,20120,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
minrk,Shougo,20150,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
ipython,methane,20100,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ipython,minrk,20100,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
methane,minrk,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
batz,ipython,20101,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
fperez,ipython,20101,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
batz,fperez,20101,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20111,7,0,0,0,0.64,0.0,0.0,0.0,12,1,1.0,0.73
ipython,takluyver,20100,7,0,0,0,0.64,0.0,0.0,0.0,12,1,0.73,1.0
fperez,takluyver,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
minrk,tomspur,20141,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,ipython,20161,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ipython,takluyver,20100,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
fperez,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
ellisonbg,ipython,20101,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,0.32999999999999996
ipython,minrk,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ivanov,minrk,20131,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,ivanov,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ipython,takluyver,20100,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
minrk,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,6,0,0,0,0.86,0.0,0.0,0.0,8,1,1.0,1.0
minrk,takluyver,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,6,0,0,0,0.86,0.0,0.0,0.0,8,1,1.0,1.0
ipython,takluyver,20100,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
fperez,ipython,20110,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
fperez,ipython,20111,3,0,0,0,0.38,0.0,0.0,0.0,9,1,1.0,1.0
ipython,nealmcb,20100,3,0,0,0,0.38,0.0,0.0,0.0,9,1,1.0,1.0
fperez,nealmcb,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
haosdent,ipython,20130,8,2,1,1,0.4,0.1,0.05,0.05,9,1,0.75,0.8
ipython,xiaket,20100,3,0,0,0,0.6,0.0,0.0,0.0,6,1,0.8,1.0
takluyver,xiaket,20110,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
haosdent,xiaket,20130,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.75,1.0
takluyver,xiaket,20130,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
ipython,takluyver,20100,9,0,0,0,0.6,0.0,0.0,0.0,8,1,0.8,1.0
haosdent,takluyver,20130,6,0,0,0,0.5,0.0,0.0,0.0,7,1,0.75,1.0
ipython,takluyver,20100,4,1,0,1,0.4,0.1,0.0,0.1,7,1,0.8,0.5
haosdent,takluyver,20130,3,1,0,1,0.38,0.12,0.0,0.12,6,1,0.75,0.5
fperez,ipython,20110,4,0,0,0,0.5,0.0,0.0,0.0,6,1,1.0,0.5
ipython,minrk,20100,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
fperez,minrk,20110,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ipython,takluyver,20100,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
fperez,takluyver,20110,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
minrk,takluyver,20110,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
fperez,ipython,20101,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
fperez,ipython,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
daf,ipython,20120,1,1,0,1,0.5,0.5,0.0,0.5,3,1,0.5,0.0
fperez,ipython,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
dellis23,ipython,20121,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
fletom,ipython,20121,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
bkvirendra,ipython,20131,0,1,0,0,0.0,0.5,0.0,0.0,3,1,1.0,0.0
Carreau,ipython,20131,1,0,0,1,1.0,0.0,0.0,1.0,2,1,0.0,0.0
blackball,ipython,20161,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
anfedorov,ipython,20161,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Erotemic,ipython,20161,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
daf,fperez,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.5,1.0
dellis23,fperez,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fletom,fperez,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
bkvirendra,fperez,20131,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
Carreau,fperez,20131,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
blackball,fperez,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
anfedorov,fperez,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Erotemic,fperez,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
fperez,takluyver,20101,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,takluyver,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
daf,takluyver,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.5,1.0
liokm,takluyver,20120,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
fperez,takluyver,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
dellis23,takluyver,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fletom,takluyver,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
JoeZ99,takluyver,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
reverie,takluyver,20130,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
bkvirendra,takluyver,20131,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
minrk,takluyver,20131,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,takluyver,20131,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
philippschw,takluyver,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
blackball,takluyver,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
anfedorov,takluyver,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Erotemic,takluyver,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
daf,fperez,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.5,1.0
dellis23,fperez,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fletom,fperez,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
bkvirendra,fperez,20131,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
Carreau,fperez,20131,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
blackball,fperez,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
anfedorov,fperez,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Erotemic,fperez,20161,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
bkvirendra,daf,20131,1,1,1,0,0.25,0.25,0.25,0.0,4,1,1.0,0.5
Carreau,daf,20131,1,1,0,1,0.5,0.5,0.0,0.5,3,1,0.0,0.5
blackball,daf,20161,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.5
anfedorov,daf,20161,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.5
ipython,takluyver,20100,0,0,0,0,0.0,0.0,0.0,0.0,5,1,0.0,1.0
fperez,takluyver,20101,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
fperez,takluyver,20111,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
daf,takluyver,20120,0,0,0,0,0.0,0.0,0.0,0.0,6,1,0.5,1.0
liokm,takluyver,20120,8,0,0,0,0.67,0.0,0.0,0.0,7,1,1.0,1.0
fperez,takluyver,20120,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
dellis23,takluyver,20121,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
fletom,takluyver,20121,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
JoeZ99,takluyver,20121,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
reverie,takluyver,20130,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
bkvirendra,takluyver,20131,4,0,0,0,0.5,0.0,0.0,0.0,6,1,1.0,1.0
minrk,takluyver,20131,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
Carreau,takluyver,20131,0,0,0,0,0.0,0.0,0.0,0.0,5,1,0.0,1.0
philippschw,takluyver,20160,0,0,0,0,0.0,0.0,0.0,0.0,5,1,0.0,1.0
blackball,takluyver,20161,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
