name1,name2,period,issue_num,p1,p2
"ctiller","nicolasnoble","20150","660","2","2"
"andrewpollock","tbetbetbe","20150","662","1221","2"
"andrewpollock","nicolasnoble","20151","662","2222","2222"
"jgeewax","nicolasnoble","20151","662","2","2222"
"dhermes","nicolasnoble","20151","662","2222212222","2222"
"blowmage","nicolasnoble","20151","662","0","2222"
"andrewpollock","jgeewax","20151","662","2222","2"
"dhermes","jgeewax","20151","662","2222212222","2"
"blowmage","jgeewax","20151","662","0","2"
"andrewpollock","dhermes","20151","662","2222","2222212222"
"blowmage","dhermes","20151","662","0","2222212222"
"nicolasnoble","tbetbetbe","20151","662","2222","22222"
"andrewpollock","tbetbetbe","20151","662","2222","22222"
"jgeewax","tbetbetbe","20151","662","2","22222"
"dhermes","tbetbetbe","20151","662","2222212222","22222"
"blowmage","tbetbetbe","20151","662","0","22222"
"andrewpollock","blowmage","20151","662","2222","0"
"nicolasnoble","vjpai","20150","664","2","1"
"ctiller","jayantkolhe","20150","666","222","2"
"donnadionne","jayantkolhe","20150","666","2","2"
"ctiller","donnadionne","20150","666","222","2"
"ctiller","murgatroid99","20150","677","22","2"
"googlebot","nicolasnoble","20150","678","2","2"
"ctiller","jboeuf","20150","681","2202","10200"
"ejona86","jboeuf","20150","681","02","10200"
"ctiller","ejona86","20150","681","2202","02"
"ctiller","sleevi","20150","681","2202","22"
"jboeuf","sleevi","20150","681","10200","22"
"ejona86","sleevi","20150","681","02","22"
"googlebot","nathanielmanistaatgoogle","20150","691","1","2"
"donnadionne","googlebot","20150","696","2","1"
"googlebot","nathanielmanistaatgoogle","20150","696","1","202"
"donnadionne","nathanielmanistaatgoogle","20150","696","2","202"
"dgquintas","y-zeng","20161","702","2","2"
"vjpai","y-zeng","20170","702","2","2"
"ctiller","nicolasnoble","20150","703","2","2"
"ctiller","jboeuf","20150","710","2","2222"
"ctiller","yang-g","20150","725","2","22"
"a11r","ctiller","20150","727","2","221"
"ctiller","yang-g","20150","727","221","21"
"a11r","yang-g","20150","727","2","21"
"ctiller","nathanielmanistaatgoogle","20150","728","2202","02"
"ctiller","tbetbetbe","20150","729","22","2"
"ctiller","jtattermusch","20150","731","222","2"
"donnadionne","googlebot","20150","733","2","1"
"jboeuf","sleevi","20150","735","2122","12"
"ctiller","nathanielmanistaatgoogle","20150","739","2","2"
"nathanielmanistaatgoogle","soltanmm","20150","739","2","22"
"ctiller","soltanmm","20150","739","2","22"
