name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
joseBarreto,mrdoob,20151,1.0,1.0,2,0,0,0,1,3
joseBarreto,raphaelcunha,20151,1.0,1.0,2,0,0,0,1,3
josephrocca,mrdoob,20151,0.0,1.0,0,0,0,0,1,2
jostschmithals,RemusMar,20151,0.0,0.5,2,0,0,2,1,5
jostschmithals,makc,20151,0.0,1.0,0,0,0,0,1,3
jostschmithals,mrdoob,20151,0.0,0.7,3,1,0,3,1,11
jostschmithals,simonThiele,20151,0.0,0.0,1,0,0,1,1,2
jostschmithals,tiagopadua,20151,0.0,1.0,0,0,0,0,1,2
jostschmithals,titansoftime,20151,0.0,0.6699999999999999,1,1,0,1,1,4
jostschmithals,zz85,20151,0.0,1.0,0,0,0,0,1,2
kenrussell,MasterJames,20151,1.0,1.0,1,0,1,0,1,3
kenrussell,StarPlugins,20151,1.0,0.6,0,2,0,0,1,6
kenrussell,WestLangley,20151,1.0,1.0,0,0,0,0,1,3
kenrussell,mrdoob,20151,0.875,1.0,7,0,1,0,2,10
kenrussell,tschw,20151,0.75,1.0,3,0,0,0,1,5
kintel,WestLangley,20151,1.0,0.75,6,2,4,0,1,8
kintel,mrdoob,20151,1.0,1.0,12,0,9,0,2,14
kishalmi,mrdoob,20151,1.0,1.0,0,0,0,0,1,4
kkananen,mrdoob,20151,1.0,1.0,6,0,0,0,1,6
kylegmaxwell,Usnul,20151,1.0,1.0,0,0,0,0,1,2
kylegmaxwell,mrdoob,20151,1.0,0.5,0,1,0,0,1,3
kylegmaxwell,rimmartin,20151,1.0,0.4,1,3,1,0,1,6
leitzler,WestLangley,20151,0.8333333333333334,1.0,4,0,0,0,3,8
leitzler,makc,20151,0.8333333333333334,1.0,9,1,0,0,3,14
leitzler,mrdoob,20151,0.875,1.0,12,1,0,0,4,19
leitzler,simonThiele,20151,0.5,1.0,4,2,0,0,1,8
linkedz,WestLangley,20151,1.0,1.0,1,0,0,0,1,2
linkedz,mrdoob,20151,1.0,0.6699999999999999,2,0,0,0,1,4
makc,RemusMar,20151,1.0,0.5,4,0,0,0,1,6
makc,Usnul,20151,1.0,1.0,0,0,0,0,1,2
makc,WestLangley,20151,1.0,1.0,25,0,0,0,6,26
makc,ZifRoot,20151,1.0,1.0,2,0,0,0,1,3
makc,mikecao,20151,1.0,1.0,1,0,0,0,1,2
makc,mrdoob,20151,1.0,0.91,64,0,1,0,7,46
makc,simonThiele,20151,1.0,0.5,26,0,2,0,2,16
makc,tiagopadua,20151,1.0,1.0,2,0,0,0,1,3
makc,titansoftime,20151,1.0,0.835,4,0,0,0,2,8
makc,unreturnable,20151,1.0,0.0,0,0,0,0,1,2
makc,zz85,20151,1.0,0.75,3,0,0,0,2,6
manthrax,mrdoob,20151,1.0,1.0,0,0,0,0,1,5
manthrax,please-wait,20151,1.0,0.0,0,0,0,0,1,2
manthrax,repsac,20151,1.0,0.0,0,0,0,0,2,7
manthrax,titansoftime,20151,1.0,1.0,2,0,0,0,1,3
matrix3d,mrdoob,20151,1.0,1.0,2,0,0,0,1,3
mattdesl,mrdoob,20151,1.0,1.0,6,0,0,0,1,6
mattdesl,threejsworker,20151,1.0,1.0,1,0,0,0,1,2
mgold,mrdoob,20151,0.0,0.0,1,0,0,1,1,2
mgold,threejsworker,20151,0.0,1.0,0,0,0,0,1,2
mikecao,WestLangley,20151,1.0,1.0,2,0,0,0,1,3
mjenek,WestLangley,20151,1.0,1.0,0,0,0,0,1,4
mjenek,mrdoob,20151,1.0,1.0,1,0,1,0,1,6
mjenek,titansoftime,20151,1.0,0.78,2,2,2,0,1,10
mortensassi,mrdoob,20151,1.0,1.0,1,0,0,0,1,2
mortensassi,nexflo,20151,1.0,1.0,3,0,0,0,1,4
mrdoob,NicolasRannou,20151,1.0,1.0,2,0,2,0,1,7
mrdoob,PaulSos,20151,1.0,1.0,13,0,1,0,1,10
mrdoob,RemusMar,20151,0.6779999999999999,0.82,57,7,0,10,5,48
mrdoob,StarPlugins,20151,1.0,0.6,6,2,0,0,1,8
mrdoob,Usnul,20151,0.7866666666666666,0.8666666666666667,35,4,0,4,3,25
mrdoob,WestLangley,20151,0.9419354838709678,0.8870967741935484,246,12,11,1,31,210
mrdoob,ZifRoot,20151,0.6699999999999999,1.0,2,0,0,0,1,4
mrdoob,nexflo,20151,1.0,1.0,3,0,0,0,1,4
mrdoob,njam,20151,1.0,0.6,11,2,1,0,1,11
mrdoob,nn4e,20151,1.0,1.0,2,0,0,0,1,3
mrdoob,nraynaud,20151,1.0,0.0,0,0,0,0,1,5
mrdoob,princemio,20151,0.5,1.0,0,0,0,0,2,4
mrdoob,raphaelcunha,20151,1.0,1.0,1,0,0,0,1,2
mrdoob,repsac,20151,1.0,0.0,0,1,0,0,1,2
mrdoob,rfm1201,20151,1.0,1.0,1,0,0,0,1,2
mrdoob,rimmartin,20151,0.5,0.4,4,1,0,3,1,7
mrdoob,satori99,20151,1.0,1.0,6,0,0,0,1,8
mrdoob,simonThiele,20151,0.85,0.5,29,1,2,3,2,24
mrdoob,sonwh98,20151,1.0,0.88,19,2,4,0,1,13
mrdoob,tamarintech,20151,1.0,1.0,3,0,3,0,1,4
mrdoob,tforgione,20151,1.0,1.0,9,0,1,0,1,8
mrdoob,threejsworker,20151,0.335,1.0,2,0,0,0,2,6
mrdoob,tiagopadua,20151,0.7,1.0,6,0,0,0,1,11
mrdoob,tiansijie,20151,1.0,1.0,4,0,0,0,1,5
mrdoob,titansoftime,20151,0.9,0.8166666666666668,33,6,4,3,3,30
mrdoob,tormozok,20151,0.5,0.915,1,0,0,1,2,9
mrdoob,trusktr,20151,1.0,1.0,3,0,0,0,1,6
mrdoob,tschw,20151,0.8099999999999999,0.9166666666666666,43,6,2,0,6,47
mrdoob,wpk-,20151,1.0,1.0,1,0,0,0,1,2
mrdoob,yomboprime,20151,1.0,1.0,1,0,1,0,1,3
mrdoob,zz85,20151,0.85,1.0,7,0,1,0,2,13
njam,WestLangley,20151,0.6,1.0,2,0,0,0,1,6
njam,tschw,20151,0.6,0.5,22,10,2,12,1,17
nraynaud,WestLangley,20151,0.0,1.0,0,0,0,0,1,2
please-wait,repsac,20151,0.0,0.0,1,0,0,1,1,2
please-wait,titansoftime,20151,0.0,1.0,0,0,0,0,1,3
princemio,tschw,20151,1.0,1.0,1,0,0,0,2,4
q2apro,WestLangley,20151,1.0,1.0,1,0,0,0,1,2
repsac,titansoftime,20151,0.0,1.0,0,0,0,0,1,3
rimmartin,Usnul,20151,0.4,1.0,1,0,0,0,1,6
robhawkes,Samsy,20151,1.0,1.0,1,0,0,0,1,2
simonThiele,WestLangley,20151,1.0,1.0,8,0,0,0,1,8
simonThiele,tiagopadua,20151,0.0,1.0,0,0,0,0,1,2
simonThiele,titansoftime,20151,0.0,0.6699999999999999,1,1,0,1,1,4
simonThiele,zz85,20151,0.0,1.0,0,0,0,0,1,2
tamarintech,yomboprime,20151,1.0,1.0,3,0,3,0,1,5
tforgione,WestLangley,20151,1.0,0.83,10,1,0,0,1,9
threejsworker,WestLangley,20151,1.0,1.0,2,0,0,0,1,3
tiagopadua,titansoftime,20151,1.0,0.6699999999999999,1,0,0,0,1,4
tiagopadua,zz85,20151,1.0,1.0,1,0,0,0,1,2
tiansijie,WestLangley,20151,1.0,0.5,1,0,0,0,2,4
tiansijie,tschw,20151,1.0,1.0,2,0,0,0,1,4
titansoftime,WestLangley,20151,0.78,1.0,15,0,0,0,1,12
titansoftime,zz85,20151,0.6699999999999999,1.0,1,0,0,0,1,4
tschw,Usnul,20151,1.0,0.6,3,0,0,0,1,6
tschw,WestLangley,20151,0.875,1.0,12,0,0,0,4,25
unreturnable,WestLangley,20151,0.0,1.0,0,0,0,0,1,4
unreturnable,zz85,20151,0.0,0.5,1,0,0,1,1,3
