"name1","name2","year_week","issue_num","p1","p2"
"pchote","penev92","20158","7477","2222","02"
"pchote","penev92","20159","7477","22","22"
"Mailaender","penev92","20159","7477","222","22"
"Mailaender","pchote","20159","7477","222","22"
"obrakmann","penev92","201510","7477","22","02"
"pchote","penev92","201510","7477","2","02"
"obrakmann","pchote","201510","7477","22","2"
"chrisforbes","deniz1a","20157","7478","2","2"
"deniz1a","Phrohdoh","20157","7478","2","2"
"GeertJohan","Phrohdoh","20157","7478","2","2"
"chrisforbes","Phrohdoh","20157","7478","2","2"
"deniz1a","Unit158","20157","7478","2","2"
"Phrohdoh","Unit158","20157","7478","2","2"
"GeertJohan","Unit158","20157","7478","2","2"
"chrisforbes","Unit158","20157","7478","2","2"
"deniz1a","GeertJohan","20157","7478","2","2"
"chrisforbes","GeertJohan","20157","7478","2","2"
"elegantandrogyne","MustaphaTR","201514","7478","0","2"
"obrakmann","RoosterDragon","20158","7479","2022","2"
"Mailaender","RoosterDragon","20158","7479","22","2"
"Mailaender","obrakmann","20158","7479","22","2022"
"deniz1a","penev92","20157","7481","2","2"
"pchote","reaperrr","20158","7483","222","022"
"Mailaender","reaperrr","20158","7483","222","022"
"Mailaender","pchote","20158","7483","222","222"
"pchote","Unit158","20158","7484","0","2"
"Mailaender","Unit158","20158","7484","2","2"
"Mailaender","pchote","20158","7484","2","0"
"penev92","xan2622","20158","7485","02","2"
"LipkeGu","xan2622","20158","7485","2","2"
"dan9550","xan2622","20158","7485","2","2"
"Nelax","xan2622","20158","7485","2","2"
"LipkeGu","penev92","20158","7485","2","02"
"dan9550","penev92","20158","7485","2","02"
"Nelax","penev92","20158","7485","2","02"
"dan9550","LipkeGu","20158","7485","2","2"
"LipkeGu","Nelax","20158","7485","2","2"
"dan9550","Nelax","20158","7485","2","2"
"pchote","penev92","20158","7486","2","22"
"obrakmann","penev92","20158","7486","2","22"
"obrakmann","pchote","20158","7486","2","2"
"penev92","Phrohdoh","20158","7486","22","2"
"pchote","Phrohdoh","20158","7486","2","2"
"pevers","Phrohdoh","20158","7486","12","2"
"obrakmann","Phrohdoh","20158","7486","2","2"
"penev92","pevers","20158","7486","22","12"
"pchote","pevers","20158","7486","2","12"
"obrakmann","pevers","20158","7486","2","12"
"abcdefg30","Micr0Bit","20158","7487","02","22"
"deniz1a","Micr0Bit","20158","7487","2","22"
"Micr0Bit","obrakmann","20158","7487","22","2"
"abcdefg30","obrakmann","20158","7487","02","2"
"deniz1a","obrakmann","20158","7487","2","2"
"Micr0Bit","pchote","20158","7487","22","1"
"abcdefg30","pchote","20158","7487","02","1"
"obrakmann","pchote","20158","7487","2","1"
"deniz1a","pchote","20158","7487","2","1"
"abcdefg30","deniz1a","20158","7487","02","2"
"Micr0Bit","penev92","20158","7487","22","1"
"abcdefg30","penev92","20158","7487","02","1"
"obrakmann","penev92","20158","7487","2","1"
"pchote","penev92","20158","7487","1","1"
"deniz1a","penev92","20158","7487","2","1"
"chrisforbes","pchote","20158","7488","22","22"
"epicelite","LipkeGu","20158","7490","2","2"
"LipkeGu","penev92","20158","7490","2","2"
"epicelite","penev92","20158","7490","2","2"
"LipkeGu","Phrohdoh","20158","7490","2","2"
"epicelite","Phrohdoh","20158","7490","2","2"
"penev92","Phrohdoh","20158","7490","2","2"
"Computerfreaked","penev92","20158","7492","2","22122"
"pchote","penev92","20158","7492","2","22122"
"Computerfreaked","pchote","20158","7492","2","2"
"Mailaender","penev92","201511","7492","2","2"
"obrakmann","penev92","201511","7492","1","2"
"Mailaender","obrakmann","201511","7492","2","1"
"abcdefg30","Mailaender","201512","7492","2","222"
"abcdefg30","penev92","201512","7492","2","2"
"Mailaender","penev92","201512","7492","222","2"
"ihptru","LipkeGu","20158","7494","22","1"
"blarg227","LipkeGu","20158","7494","1","1"
"blarg227","ihptru","20158","7494","1","22"
"Mailaender","reaperrr","20158","7495","1","2"
"penev92","reaperrr","20158","7495","2","2"
"Mailaender","penev92","20158","7495","1","2"
"Computerfreaked","penev92","20158","7496","02","222"
"pchote","penev92","20158","7496","2","222"
"Computerfreaked","pchote","20158","7496","02","2"
"Mailaender","SoScared","20158","7497","2","1"
"LipkeGu","pchote","20158","7498","0","2"
"penev92","pevers","20159","7498","22","02"
"penev92","reaperrr","201515","7499","22","2"
"LipkeGu","penev92","20158","7501","2","1"
"Nelax","penev92","20158","7501","21","1"
"Mailaender","penev92","20158","7501","1","1"
"LipkeGu","Nelax","20158","7501","2","21"
"Mailaender","Nelax","20158","7501","1","21"
"LipkeGu","Mailaender","20158","7501","2","1"
"Nelax","obrakmann","20159","7501","2012","2020"
"Mailaender","obrakmann","201510","7501","1","2"
"Nelax","obrakmann","201510","7501","1","2"
"Mailaender","Nelax","201510","7501","1","1"
"chrisforbes","SilverlineDev","201513","7501","2","222"
"obrakmann","SilverlineDev","201513","7501","2","222"
"chrisforbes","obrakmann","201513","7501","2","2"
"LipkeGu","obrakmann","20158","7502","1","2"
"epicelite","penev92","20158","7503","20","2222"
"Micr0Bit","penev92","20158","7503","20220222","2222"
"obrakmann","penev92","20158","7503","2","2222"
"kyrylo","penev92","20158","7503","0","2222"
"cjshmyr","penev92","20158","7503","1","2222"
"Nelax","penev92","20158","7503","2","2222"
"cjshmyr","epicelite","20158","7503","1","20"
"epicelite","Micr0Bit","20158","7503","20","20220222"
"kyrylo","Micr0Bit","20158","7503","0","20220222"
"cjshmyr","Micr0Bit","20158","7503","1","20220222"
"epicelite","obrakmann","20158","7503","20","2"
"Micr0Bit","obrakmann","20158","7503","20220222","2"
"kyrylo","obrakmann","20158","7503","0","2"
"cjshmyr","obrakmann","20158","7503","1","2"
"Nelax","obrakmann","20158","7503","2","2"
"epicelite","kyrylo","20158","7503","20","0"
"cjshmyr","kyrylo","20158","7503","1","0"
"penev92","pi99y","20158","7503","2222","21"
"epicelite","pi99y","20158","7503","20","21"
"Micr0Bit","pi99y","20158","7503","20220222","21"
"obrakmann","pi99y","20158","7503","2","21"
"kyrylo","pi99y","20158","7503","0","21"
"cjshmyr","pi99y","20158","7503","1","21"
"Nelax","pi99y","20158","7503","2","21"
"penev92","ScottNZ","20158","7503","2222","22"
"epicelite","ScottNZ","20158","7503","20","22"
"Micr0Bit","ScottNZ","20158","7503","20220222","22"
"obrakmann","ScottNZ","20158","7503","2","22"
"kyrylo","ScottNZ","20158","7503","0","22"
"pi99y","ScottNZ","20158","7503","21","22"
"cjshmyr","ScottNZ","20158","7503","1","22"
"Nelax","ScottNZ","20158","7503","2","22"
"epicelite","Nelax","20158","7503","20","2"
"Micr0Bit","Nelax","20158","7503","20220222","2"
"kyrylo","Nelax","20158","7503","0","2"
"cjshmyr","Nelax","20158","7503","1","2"
"abcdefg30","RoosterDragon","20158","7504","2","20"
"LipkeGu","RoosterDragon","20158","7504","2","20"
"abcdefg30","LipkeGu","20158","7504","2","2"
"abcdefg30","jabbink","20159","7504","1","2"
"penev92","UberWaffe","20158","7506","2","2"
"Micr0Bit","UberWaffe","20158","7506","2","2"
"pevers","UberWaffe","20158","7506","1","2"
"Micr0Bit","penev92","20158","7506","2","2"
"penev92","pevers","20158","7506","2","1"
"Micr0Bit","pevers","20158","7506","2","1"
"pchote","pi99y","201547","7506","2","2"
"abcdefg30","pi99y","201649","7506","2","1"
"GraionDilach","Mailaender","201650","7506","0","2"
"Mailaender","pi99y","201650","7506","2","1"
"GraionDilach","pi99y","201650","7506","0","1"
"pevers","Unit158","20158","7507","2220","221"
"pchote","Unit158","20158","7507","12","221"
"obrakmann","Unit158","20158","7507","21","221"
"penev92","Unit158","20158","7507","2","221"
"Phrohdoh","Unit158","20158","7507","2","221"
"Mailaender","Unit158","20158","7507","2","221"
"pchote","pevers","20158","7507","12","2220"
"obrakmann","pevers","20158","7507","21","2220"
"penev92","pevers","20158","7507","2","2220"
"Mailaender","pevers","20158","7507","2","2220"
"obrakmann","pchote","20158","7507","21","12"
"Mailaender","pchote","20158","7507","2","12"
"Mailaender","obrakmann","20158","7507","2","21"
"pchote","penev92","20158","7507","12","2"
"obrakmann","penev92","20158","7507","21","2"
"Mailaender","penev92","20158","7507","2","2"
"pevers","Phrohdoh","20158","7507","2220","2"
"pchote","Phrohdoh","20158","7507","12","2"
"obrakmann","Phrohdoh","20158","7507","21","2"
"penev92","Phrohdoh","20158","7507","2","2"
"Mailaender","Phrohdoh","20158","7507","2","2"
"pchote","Phrohdoh","20158","7509","2","2"
"pchote","reaperrr","20158","7509","2","2"
"Phrohdoh","reaperrr","20158","7509","2","2"
"GraionDilach","reaperrr","201527","7509","2","0"
"DeadlySurprise","Phrohdoh","20158","7510","2","2"
"Mailaender","Phrohdoh","20158","7510","2","2"
"obrakmann","Phrohdoh","20158","7510","22","2"
"DeadlySurprise","Mailaender","20158","7510","2","2"
"DeadlySurprise","obrakmann","20158","7510","2","22"
"Mailaender","obrakmann","20158","7510","2","22"
"abcdefg30","pchote","20158","7511","2","2"
"obrakmann","pchote","20158","7511","2","2"
"abcdefg30","obrakmann","20158","7511","2","2"
"kyrreso","penev92","20158","7512","2","2"
"GraionDilach","kyrreso","201738","7512","0","2"
"kyrreso","Mailaender","201738","7512","2","2"
"GraionDilach","Mailaender","201738","7512","0","2"
"chrisforbes","penev92","20158","7513","0","02"
"penev92","Phrohdoh","20158","7513","02","1"
"chrisforbes","Phrohdoh","20158","7513","0","1"
"penev92","reaperrr","20158","7513","02","2"
"chrisforbes","reaperrr","20158","7513","0","2"
"Phrohdoh","reaperrr","20158","7513","1","2"
"reaperrr","Unit158","20159","7513","20","2"
"penev92","Unit158","20159","7513","2","2"
"pchote","Unit158","20159","7513","2","2"
"penev92","reaperrr","20159","7513","2","20"
"pchote","reaperrr","20159","7513","2","20"
"pchote","penev92","20159","7513","2","2"
"obrakmann","pchote","20158","7515","2","2"
"GeertJohan","LipkeGu","20159","7515","22","2"
"Mailaender","obrakmann","20158","7516","2","2"
"obrakmann","pchote","20158","7516","2","2"
"Mailaender","pchote","20158","7516","2","2"
"obrakmann","penev92","20158","7516","2","2"
"pchote","penev92","20158","7516","2","2"
"Mailaender","penev92","20158","7516","2","2"
"obrakmann","reaperrr","20158","7516","2","2"
"pchote","reaperrr","20158","7516","2","2"
"penev92","reaperrr","20158","7516","2","2"
"Mailaender","reaperrr","20158","7516","2","2"
"obrakmann","pchote","20158","7517","2","2"
"deniz1a","epicelite","20158","7518","2","2"
"epicelite","penev92","20158","7518","2","2"
"deniz1a","penev92","20158","7518","2","2"
"Mailaender","pchote","201540","7520","2","222"
"Mailaender","obrakmann","20159","7521","2","22"
"Mailaender","obrakmann","201510","7522","21","0"
"obrakmann","pevers","201510","7522","0","2"
"Mailaender","pevers","201510","7522","21","2"
"deniz1a","penev92","20158","7523","2","2"
"LipkeGu","penev92","20158","7523","2","2"
"deniz1a","LipkeGu","20158","7523","2","2"
"LipkeGu","Mailaender","20159","7523","2","2"
"obrakmann","penev92","201510","7524","1","202"
"Mailaender","penev92","201510","7524","2","202"
"abcdefg30","penev92","201510","7524","2","202"
"penev92","Phrohdoh","201510","7524","202","2"
"obrakmann","Phrohdoh","201510","7524","1","2"
"Mailaender","Phrohdoh","201510","7524","2","2"
"abcdefg30","Phrohdoh","201510","7524","2","2"
"Mailaender","obrakmann","201510","7524","2","1"
"abcdefg30","obrakmann","201510","7524","2","1"
"abcdefg30","Mailaender","201510","7524","2","2"
"obrakmann","penev92","201511","7525","2","2"
"abcdefg30","penev92","201512","7525","0","222"
"Mailaender","penev92","201512","7525","22","222"
"abcdefg30","Mailaender","201512","7525","0","22"
"Mailaender","pchote","20159","7526","22","222"
"pchote","penev92","20159","7526","222","2"
"Mailaender","penev92","20159","7526","22","2"
"penev92","Phrohdoh","201511","7526","22","20"
"penev92","ScottNZ","201511","7526","22","2"
"Phrohdoh","ScottNZ","201511","7526","20","2"
"Mailaender","pchote","201512","7526","2","0"
"Mailaender","penev92","201512","7526","2","2"
"pchote","penev92","201512","7526","0","2"
"Mailaender","Phrohdoh","201512","7526","2","2"
"pchote","Phrohdoh","201512","7526","0","2"
"penev92","Phrohdoh","201512","7526","2","2"
"obrakmann","Phrohdoh","20159","7527","22","2"
"jabbink","pevers","20159","7528","02","1"
"deniz1a","pevers","20159","7528","2","1"
"penev92","pevers","20159","7528","2","1"
"pevers","Phrohdoh","20159","7528","1","20"
"jabbink","Phrohdoh","20159","7528","02","20"
"deniz1a","Phrohdoh","20159","7528","2","20"
"penev92","Phrohdoh","20159","7528","2","20"
"deniz1a","jabbink","20159","7528","2","02"
"jabbink","penev92","20159","7528","02","2"
"deniz1a","penev92","20159","7528","2","2"
"jabbink","Mailaender","201511","7528","2","022"
"Mailaender","Phrohdoh","201511","7528","022","2"
"jabbink","Phrohdoh","201511","7528","2","2"
"obrakmann","Phrohdoh","201511","7528","22","2"
"Mailaender","obrakmann","201511","7528","022","22"
"jabbink","obrakmann","201511","7528","2","22"
"chrisforbes","jabbink","20159","7529","2","222"
"jabbink","Micr0Bit","20159","7529","222","2"
"chrisforbes","Micr0Bit","20159","7529","2","2"
"jabbink","Phrohdoh","20159","7529","222","2"
"Micr0Bit","Phrohdoh","20159","7529","2","2"
"chrisforbes","Phrohdoh","20159","7529","2","2"
"chrisforbes","obrakmann","20159","7531","2","12"
"obrakmann","penev92","20159","7532","2","2"
"obrakmann","reaperrr","20159","7533","2","2"
"Phrohdoh","reaperrr","201510","7533","2","2"
"obrakmann","penev92","201516","7534","22","00"
"42foobar42","penev92","201516","7534","01","00"
"abcdefg30","penev92","201516","7534","2","00"
"Mailaender","penev92","201516","7534","2","00"
"42foobar42","obrakmann","201516","7534","01","22"
"abcdefg30","obrakmann","201516","7534","2","22"
"Mailaender","obrakmann","201516","7534","2","22"
"42foobar42","abcdefg30","201516","7534","01","2"
"42foobar42","Mailaender","201516","7534","01","2"
"abcdefg30","Mailaender","201516","7534","2","2"
"42foobar42","abcdefg30","201517","7534","012","2122"
"abcdefg30","penev92","201517","7534","2122","2"
"42foobar42","penev92","201517","7534","012","2"
"Mailaender","penev92","201517","7534","212","2"
"abcdefg30","Mailaender","201517","7534","2122","212"
"42foobar42","Mailaender","201517","7534","012","212"
"obrakmann","penev92","20159","7535","2","2"
"obrakmann","Snurre86","20159","7537","2","2"
