name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
jabbink,obrakmann,2015-02-23,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
chrisforbes,obrakmann,2015-02-23,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
karona75,xan2622,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Unit158,xan2622,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
karona75,Unit158,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
jwbuurlage,Phrohdoh,2015-02-02,1,1,0,1,0.17,0.17,0.0,0.17,5,1,0.5,0.6699999999999999
Mailaender,obrakmann,2015-02-09,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
atimoschenkow,Phrohdoh,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,Phrohdoh,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
obrakmann,Phrohdoh,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
atimoschenkow,Mailaender,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
atimoschenkow,obrakmann,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,obrakmann,2015-02-09,1,0,1,0,0.5,0.0,0.5,0.0,3,1,1.0,1.0
jabbink,pevers,2015-02-23,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
penev92,pevers,2015-02-23,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
jabbink,penev92,2015-02-23,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
karona75,xan2622,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
obrakmann,xan2622,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
karona75,obrakmann,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
LipkeGu,xan2622,2015-02-16,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
penev92,Phrohdoh,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,Phrohdoh,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
DaveAxiom,Phrohdoh,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
Micr0Bit,Phrohdoh,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Mailaender,penev92,2015-02-09,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
DaveAxiom,penev92,2015-02-09,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.5,1.0
Micr0Bit,penev92,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
DaveAxiom,Mailaender,2015-02-09,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.5,1.0
Phrohdoh,Unit158,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
penev92,Unit158,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0
Mailaender,Unit158,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0
DaveAxiom,Unit158,2015-02-09,1,0,0,1,0.5,0.0,0.0,0.5,3,1,0.5,0.0
Micr0Bit,Unit158,2015-02-09,1,0,0,1,1.0,0.0,0.0,1.0,2,1,0.0,0.0
Mailaender,Micr0Bit,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0
DaveAxiom,Micr0Bit,2015-02-09,1,0,0,1,0.5,0.0,0.0,0.5,3,1,0.5,0.0
Computerfreaked,pchote,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
pchote,rmoriz,2015-11-16,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
Mailaender,penev92,2015-02-09,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
MustaphaTR,penev92,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
pchote,penev92,2015-02-09,6,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
Mailaender,xan2622,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
penev92,xan2622,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
MustaphaTR,xan2622,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
pchote,xan2622,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,MustaphaTR,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,pchote,2015-02-09,9,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
MustaphaTR,pchote,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
chrisforbes,Nelax,2015-02-09,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
Computerfreaked,Nelax,2015-02-09,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
chrisforbes,Computerfreaked,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Computerfreaked,Nelax,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Nelax,obrakmann,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Computerfreaked,obrakmann,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
obrakmann,Unit158,2015-05-25,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
pchote,Phrohdoh,2015-02-09,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.5,1.0
Mailaender,Phrohdoh,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
penev92,Phrohdoh,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,pchote,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
pchote,penev92,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
Mailaender,penev92,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Phrohdoh,rappo,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
pchote,rappo,2015-02-09,0,2,0,0,0.0,0.5,0.0,0.0,4,1,0.5,1.0
Mailaender,rappo,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
penev92,rappo,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
pchote,Phrohdoh,2015-02-09,4,0,0,0,0.67,0.0,0.0,0.0,7,1,0.83,1.0
Mailaender,Phrohdoh,2015-02-09,5,0,0,0,0.83,0.0,0.0,0.0,7,1,0.83,1.0
penev92,Phrohdoh,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,pchote,2015-02-09,21,1,0,1,0.58,0.03,0.0,0.03,12,1,0.83,0.83
pchote,penev92,2015-02-09,4,0,0,0,0.67,0.0,0.0,0.0,7,1,0.83,1.0
Mailaender,penev92,2015-02-09,5,0,0,0,0.83,0.0,0.0,0.0,7,1,0.83,1.0
ihptru,obrakmann,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,obrakmann,2015-02-09,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
ihptru,pchote,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
