name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
ArcTanSusan,Carreau,2013-12-02,0.5833333333333334,0.0,0.0,0.0,0.8333333333333334,0.9166666666666666,12,0,0,0,6,21
ArcTanSusan,Carreau,2013-12-09,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
ArcTanSusan,Carreau,2014-04-14,0.6666666666666666,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,8,0,0,0,3,13
ArcTanSusan,Carreau,2014-04-21,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
ArcTanSusan,Carreau,2014-04-28,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
ArcTanSusan,damianavila,2013-11-25,0.4,0.0125,0.0,0.0,0.9375,0.9375,19,1,0,0,4,23
ArcTanSusan,damianavila,2013-12-02,1.0,0.0,0.0,0.0,1.0,1.0,8,0,0,0,4,12
ArcTanSusan,damianavila,2013-12-16,0.5,0.0,0.165,0.0,1.0,1.0,5,0,2,0,2,9
ArcTanSusan,damianavila,2013-12-23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
ArcTanSusan,damianavila,2014-04-14,0.0,0.25,0.0,0.0,0.75,1.0,0,1,0,0,1,5
ArcTanSusan,drevicko,2014-04-21,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
ArcTanSusan,drevicko,2014-04-28,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
ArcTanSusan,ellisonbg,2013-11-25,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
ArcTanSusan,ellisonbg,2013-12-02,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
ArcTanSusan,ellisonbg,2013-12-16,0.33,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,4
ArcTanSusan,ellisonbg,2014-01-20,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
ArcTanSusan,ellisonbg,2014-04-14,0.5833333333333334,0.0,0.0,0.0,0.9166666666666666,0.6666666666666666,4,0,0,0,3,9
ArcTanSusan,inducer,2014-04-14,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
ArcTanSusan,ivanov,2013-11-25,0.69,0.06,0.0,0.0,0.875,1.0,8,2,0,0,2,11
ArcTanSusan,ivanov,2013-12-02,0.835,0.0,0.0,0.0,1.0,1.0,6,0,0,0,2,8
